#{"t_start": 1746314163.7571292, "env_id": "None"}
r,l,t
-14045.223578,37,1.648124
-153869.3431,31,3.113121
-12404.101108,30,4.546811
-227658.618258,28,5.997558
-204832.590155,41,7.501914
-244667.704964,31,8.972023
-51364.374377,30,10.396147
-15396.977952,31,11.832792
-1313010.054856,28,13.278924
-27757.458665,33,14.735637
-334561.796577,35,16.198568
-28686.882009,39,17.685568
-922231.183995,33,19.158398
-258214.855243,37,20.67223
-8838.162458,32,22.111292
-190565.492299,27,23.530492
-33552.527706,33,24.962278
-64570.469871,32,26.40547
-921173.512293,35,27.883444
-44200.631919,35,29.339236
-681718.38407,26,30.761971
-149915.347097,28,32.187925
-21484.623262,29,33.611687
-24355.050715,32,35.048821
-26276.247573,35,36.514098
-171797.491096,30,37.939196
-32346.837292,32,39.382962
-26151.757019,32,40.843026
-250094.07194,28,42.287818
-9201.598142,30,43.702574
-39080.739308,31,45.123655
-59947.728584,33,51.409136
-14348.883298,27,52.829395
-793495.498922,28,54.254945
-213641.95434,28,55.679774
-713325.098166,38,57.154559
-71081.369309,29,58.564692
-106719.882553,30,59.993579
-538457.579426,31,61.425542
-715566.645549,34,62.882314
-32907.88208,36,64.312454
-187405.331733,42,65.807823
-74389.525711,28,67.237881
-561563.262337,25,68.654096
-132506.890305,28,70.089423
-117535.468132,31,71.532669
-23175.135546,35,72.978602
-331663.177955,31,74.417022
-61464.686087,36,75.878662
-350014.769576,31,77.29623
-480909.804935,31,78.755977
-608835.1273,28,80.175058
-171373.598874,32,81.62831
-127047.301983,31,83.056993
-18457.685784,30,84.49572
-334867.420184,37,85.98105
-33209.620809,26,87.390849
-228318.354705,39,88.878428
-72459.75875,34,90.325366
-524390.113451,33,91.782926
-635328.774406,40,93.280309
-545567.808526,28,94.701083
-462660.904592,23,101.104014
-254009.040888,37,102.569786
-18323.478558,40,104.022051
-921653.160154,26,105.462598
-95685.52649,34,106.919351
-14312.613389,36,108.402912
-16491.092078,36,109.86388
-90129.66451,37,111.336732
-559445.72389,29,112.773819
-112703.129081,32,114.234488
-376758.841485,34,115.693034
-16892.719681,34,117.146397
-1114905.806964,29,118.580494
-133114.471761,33,120.005588
-270533.934631,29,121.435004
-127221.524372,32,122.905958
-432502.315004,35,124.352777
-675299.74629,31,125.77512
-8322.278461,35,127.194967
-640664.277968,24,128.590707
-62574.660418,34,130.04111
-1126136.465372,36,131.535159
-80782.066464,35,133.01163
-312348.198385,31,134.458046
-48499.961063,30,135.876747
-540112.181174,26,137.287461
-15457.761749,31,138.722282
-449724.178174,34,140.19521
-306549.754436,29,141.620445
-9715.033245,36,143.067022
-594387.836347,39,144.581079
-14408.936284,28,150.135041
-120551.410941,29,151.557097
-11859.653156,34,153.011986
-14122.558053,31,154.467566
-769732.388693,36,155.96485
-109927.237704,29,157.399046
-126108.984025,37,158.880353
-642979.834207,37,160.354621
-502111.221866,25,161.76989
-224313.765358,37,163.246012
-750812.504064,42,164.749893
-198214.330332,29,166.187394
-228188.943774,29,167.629092
-52305.36656,28,169.06723
-185145.883475,36,170.53694
-209273.302647,34,172.015844
-167321.534305,33,173.466557
-33663.655245,34,174.926082
-20741.961698,31,176.36577
-55842.181226,37,177.832233
-26387.849868,29,179.256345
-339003.140556,34,180.730873
-13873.357019,39,182.176894
-137048.37326,40,183.643913
-55678.710471,29,185.061471
-75317.38266,31,186.510112
-77262.658754,28,187.924674
-112613.806448,37,189.400868
-368775.300354,32,190.829597
-20630.087689,35,192.296275
-819543.834372,30,198.765585
-503368.368454,30,200.20248
-670523.210266,32,201.655715
-18041.962118,29,203.077574
-1010779.759582,28,204.51383
-496483.326455,27,205.933061
-194935.848611,34,207.391788
-656574.936035,33,208.857158
-119430.243424,40,210.344031
-389873.351578,24,211.75465
-75776.01407,35,213.217739
-80820.741429,31,214.681628
-36702.44789,31,216.119698
-61487.215007,34,217.558283
-788599.131043,35,219.018929
-279633.71119,32,220.482544
-343686.438066,34,221.943291
-260005.349447,28,223.383921
-1154958.262602,25,224.83533
-640411.518521,26,226.265777
-190169.255835,30,227.724976
-115244.700569,29,229.161972
-194266.397419,37,230.642163
-777318.149398,32,232.072666
-928283.760012,31,233.537671
-265377.133151,32,235.040939
-311581.748128,35,236.581696
-744564.939349,32,238.059703
-184291.562457,35,239.546278
-210828.367162,34,241.01079
-522780.477484,33,242.4826
-13631.879719,37,243.975753
-22425.258733,41,249.990566
-419069.201483,29,251.426891
-35360.825721,40,252.924502
-60259.021348,32,254.369791
-638820.94984,36,255.83534
-81188.621464,42,257.323107
-981780.707998,29,258.759305
-11850.123388,29,260.213305
-63894.16306,34,261.663155
-129658.266886,28,263.125619
-872527.509853,29,264.577155
-102516.859607,25,265.993838
-198282.142704,34,267.438529
-14265.306591,36,268.907254
-226553.445279,35,270.381382
-47208.678099,28,271.814805
-102699.91023,29,273.254221
-699895.050748,40,274.798885
-118573.790388,24,276.20488
-11847.130351,34,277.667525
-16974.454132,31,279.105881
-253065.054536,33,280.673935
-14744.426428,30,282.115719
-413335.623278,31,283.545626
-14727.371141,31,284.983776
-530495.081174,33,286.462435
-147629.887898,29,287.922464
-266801.784232,30,289.390697
-74412.0816,44,290.909254
-785486.485829,31,292.361979
-6538.429887,35,298.806493
-257494.746583,31,300.289743
-107475.057694,30,301.748434
-210325.528565,41,303.244872
-6097.821571,34,304.676122
-213715.287856,29,306.126298
-243432.921862,30,307.595981
-925941.653755,27,309.054811
-22145.395011,37,310.520249
-413052.176307,32,311.947913
-65460.090872,34,313.487878
-379232.983568,38,314.964513
-953053.160676,34,316.499825
-631399.597469,38,317.992095
-941410.849799,33,319.476602
-109870.251065,33,320.939278
-860620.962913,33,322.405223
-23769.836973,30,323.854254
-25272.461484,34,325.291786
-97157.580397,44,326.85099
