#{"t_start": 1746354734.6775117, "env_id": "None"}
r,l,t
-34903.421107,28,1.712623
-24854.843528,33,4.063697
-57291.709301,39,6.261432
-15811.174846,27,8.058209
-29341.288904,37,9.499123
-9157.305327,28,11.749864
-28502.757128,30,13.318885
-22198.517173,35,14.890666
-59506.959744,29,16.608518
-11403.445232,31,18.084963
-15012.640024,32,19.59095
-10620.788565,36,21.817013
-18317.816102,28,24.281857
-72000.280248,36,26.187777
-54694.522512,36,28.467172
-26025.951634,33,29.903437
-55366.685276,35,31.879121
-39980.072053,33,33.70617
-45011.82188,32,35.844231
-21813.913478,33,38.120761
-31108.276198,24,40.309222
-17107.337996,32,41.933946
-18345.380228,28,44.229123
-37267.682881,30,46.154181
-31841.027831,26,48.054755
-15722.559895,30,49.78676
-16800.56695,29,51.28212
-54752.230627,37,53.49837
-12926.66549,34,55.638885
-35519.138957,29,57.763134
-27529.223224,29,59.651273
-17811.743214,28,61.626033
-14215.571367,32,63.458102
-27211.954401,33,66.004719
-94292.040222,29,68.411064
-71978.538126,38,70.661484
-25986.465774,33,72.886944
-21015.189927,32,75.354795
-15269.899078,28,76.759003
-19376.164216,30,78.31498
-16204.948329,27,79.767564
-31771.442471,27,81.681488
-18495.326554,33,83.719275
-30885.720554,40,85.502748
-59848.817585,43,87.750333
-29502.798588,35,89.266917
-28291.146694,27,91.284651
-48627.228331,34,93.027682
-18893.25453,32,94.522627
-10851.131093,40,96.715463
-42990.299055,29,98.687072
-14873.341597,41,100.80001
-16415.010795,36,102.841727
-37663.95172,37,104.583968
-45299.438105,36,106.761486
-23294.205103,31,108.81229
-38465.615943,31,110.357988
-29741.29071,39,112.580008
-19323.632288,38,114.544357
-22275.162547,31,116.409014
-44260.589561,38,118.33736
-21791.123183,45,120.063938
-26619.010921,30,121.865545
-34688.589874,30,124.376937
-22524.308324,37,126.385827
-15844.935332,29,128.030856
-48519.626019,32,129.800487
-9574.977594,32,131.777949
-10300.432347,34,133.959659
-21755.040932,29,135.741969
-44797.00773,32,138.106136
-12220.498098,35,139.971144
-6604.833525,30,142.03869
-20560.873528,32,143.700001
-12495.763549,31,145.186681
-22704.028581,34,147.049649
-43843.121355,32,149.177799
-15243.627881,40,151.385001
-20256.782036,35,153.12924
-17196.044178,33,154.973017
-14367.137136,28,156.910574
-15971.575034,30,158.656539
-40770.301134,35,160.363524
-13518.899358,30,162.390899
-22857.191667,30,164.496437
-19112.605088,37,166.095132
-11046.963216,30,168.473535
-34329.444731,29,170.331186
-41213.181202,35,171.876628
-23790.926781,36,173.870754
-13867.305371,27,175.490988
-27692.397355,28,177.564665
-21963.177858,36,179.271722
-16984.018849,38,180.743704
-23590.28435,22,182.699215
-24906.732709,30,184.75542
-22331.01422,33,186.461686
-19966.66254,29,188.327588
-43782.593294,25,190.329733
-23265.436606,40,192.032159
-23110.225755,31,194.430417
-39951.900674,28,195.918173
-12661.730503,37,198.032707
-25489.592813,27,199.97502
-7476.508309,32,201.813761
-18794.340732,30,203.713936
-28474.367948,28,205.949636
-16794.872076,32,207.835243
-31137.645698,35,209.64333
-40859.432798,27,211.344138
-30549.593752,23,213.125634
-55505.815236,41,214.812695
-24544.769551,31,216.42569
-43476.021071,26,218.247915
-28808.371572,36,220.753622
-21662.954721,32,222.66754
-24557.895708,29,224.697827
-59187.098951,27,226.530115
-40423.426486,26,228.294346
-13668.180757,29,230.205236
-10349.762927,32,231.719906
-15671.390252,26,233.555411
-21971.471527,32,235.697248
-19085.369897,35,238.010358
-14369.843141,26,239.966364
-14999.061408,29,241.674294
-35063.052744,36,243.860838
-34057.15771,37,245.870429
-13082.18605,34,247.938601
-16787.430669,30,250.05931
-24169.898059,30,251.753964
-8879.334284,29,253.621334
-72263.416652,33,255.537407
-11494.842571,33,257.061878
-14418.09417,32,258.568671
-16304.778168,45,260.357493
-19954.225471,27,262.001808
-38880.52187,34,264.445791
-25200.984047,30,266.054625
-24346.573624,31,268.386688
-11682.802127,33,269.816179
-18866.706678,37,272.027451
-19121.085356,39,273.736142
-33490.935495,30,275.623221
-58512.427386,33,277.709183
-53751.303666,36,279.581151
-17369.28614,40,281.470722
-27787.856913,32,283.840709
-20752.789325,37,286.03177
-13790.147957,33,287.590114
-71560.594871,30,289.677973
-33949.229317,28,291.439662
-24664.579582,25,293.251974
-12347.897912,36,294.967977
-37456.713247,34,296.850274
-31360.703305,34,298.697506
-12394.458118,25,300.131205
-30221.050264,24,301.92879
-18266.791229,34,303.958586
-22005.58205,31,305.620405
-20098.547336,31,307.171486
-24952.888674,30,309.390364
