#{"t_start": 1746364600.0653362, "env_id": "None"}
r,l,t
-18343.568972,30,1.7846
-54959.758313,26,3.872892
-11701.182459,34,5.79595
-15674.049664,31,7.8573
-32254.982722,31,9.397905
-26221.687626,25,11.407573
-32565.47002,34,13.286156
-18835.159569,29,14.700867
-17509.27365,35,16.386018
-30158.250642,32,18.771469
-17541.907924,35,20.765455
-35172.948037,32,22.768153
-23051.318399,30,25.032863
-24565.256687,31,26.77063
-13751.609487,28,28.483262
-12086.576478,29,30.284736
-11242.045787,26,31.987442
-12267.824462,30,34.509171
-29073.735672,30,36.28135
-32672.778838,30,38.250007
-21108.642024,32,40.139825
-12711.053107,29,41.85186
-17274.51038,31,43.787273
-47219.823167,32,45.846841
-75173.408804,33,47.68568
-25711.899375,33,49.854147
-15662.453617,41,51.554061
-35885.650144,41,53.750506
-34271.436772,45,56.026147
-18595.348601,33,58.074497
-37665.822942,27,60.157369
-21148.353935,34,61.762101
-29095.598638,30,63.875669
-29762.405149,34,65.949045
-24184.379402,35,68.17569
-11823.189647,32,70.262597
-35612.633302,25,71.650707
-24239.759991,33,73.880091
-25947.200706,38,75.718781
-75489.81689,30,77.803186
-14241.120589,33,79.636624
-91854.321624,31,81.725318
-40491.075015,40,83.899984
-38279.713529,33,86.325222
-11737.885898,29,88.700855
-15913.948756,33,90.632562
-133662.821025,33,92.092991
-14093.450741,31,94.812647
-16787.539346,26,96.477972
-44687.953832,25,98.668704
-15599.344254,28,100.575193
-32211.78853,29,102.038273
-35789.489018,35,104.494506
-37605.662227,24,106.491625
-53234.015542,32,108.916739
-10133.776748,27,111.028023
-64859.79338,27,112.461226
-50245.583025,30,114.760384
-78074.920918,26,116.890347
-15973.133911,30,118.687416
-29863.009128,30,120.244482
-15630.194768,31,121.967246
-12240.834249,29,123.935452
-94897.259911,27,125.725237
-30319.34708,33,127.793213
-8476.076493,30,130.378063
-121162.891257,34,132.084808
-16172.288896,32,134.066014
-16268.513552,29,136.234175
-90760.73672,32,137.73741
-75414.69262,31,139.551197
-8290.684476,28,141.63249
-109712.444634,32,143.660055
-9613.776962,24,146.120965
-21640.49874,33,147.685058
-101463.022496,27,149.379729
-32687.20765,36,151.534966
-13138.388158,38,152.974867
-105441.383167,29,155.163031
-24347.720342,33,156.733813
-13616.028132,33,158.687446
-14932.802109,29,160.906126
-10071.4,32,162.736588
-15049.76663,32,164.633074
-43146.713914,35,166.86006
-21384.766647,37,168.465049
-91208.089138,28,170.258301
-23402.595518,33,171.970505
-33417.00435,32,174.016043
-14310.008866,28,175.806095
-67541.883783,37,177.841668
-20984.728062,25,179.468214
-47300.117581,31,181.473226
-56707.506311,35,183.502456
-29177.905914,31,185.606483
-13611.500419,34,187.687639
-83570.823589,28,189.547435
-29738.088125,32,191.903067
-34675.284483,35,193.811841
-15070.209773,29,195.854586
-14744.724002,38,198.021667
-26578.00388,28,199.688967
-61053.079017,32,201.854068
-35967.241376,32,203.813115
-32496.252851,31,205.799183
-21471.968817,35,208.019206
-31304.847687,32,209.731232
-44444.637935,31,211.496402
-10048.908195,31,213.660905
-22082.35716,33,215.147604
-68473.748947,40,216.937584
-32210.453948,38,218.909942
-85858.998466,33,220.811216
-8960.011958,37,222.418413
-59987.244473,31,224.361865
-8671.46184,27,226.108743
-90082.669699,28,228.444865
-108147.425168,27,230.604088
-55285.712586,34,232.762907
-67112.356064,37,234.414485
-23302.951597,27,236.301992
-22762.948912,27,238.565515
-25082.268587,37,240.055376
-48650.167264,30,241.87501
-16115.03578,28,243.772455
-20320.27795,40,245.728333
-11849.772383,32,247.967386
