#{"t_start": 1746343925.8934278, "env_id": "None"}
r,l,t
-32734.65,29,471.7937
-29411.05,37,473.903932
-10459.35,29,475.91278
-11472.55,29,477.787498
-27455.55,31,479.878038
-14697.45,30,481.641267
-13086.85,34,484.043576
-9314.45,33,485.832459
-17081.5,31,487.385231
-12479.0,28,489.337801
-17704.75,32,491.065222
-12633.0,33,493.30732
-18937.5,38,495.147756
-14343.9,33,496.999726
-18521.2,26,499.169082
-24197.8,34,501.091664
-21655.35,21,503.01875
-28069.85,36,505.212579
-14006.95,41,507.642526
-12751.2,35,509.464628
-17550.2,32,511.22168
-12488.45,27,512.975784
-15439.9,30,515.046469
-11984.8,33,516.509787
-10517.35,26,518.421762
-14615.85,30,520.308842
-8606.5,42,521.898461
-38406.85,28,523.830418
-16402.85,37,525.854916
-11429.0,24,527.644457
-10495.0,27,529.887319
-28519.05,34,531.911965
-64772.85,35,534.131637
-16727.15,31,536.48547
-16517.7,40,538.442945
-27714.45,26,540.184847
-8916.3,28,541.702525
-19144.0,27,543.86057
-18032.7,31,545.874478
-34998.75,32,547.897564
-15635.4,36,550.066298
-35230.6,36,552.376279
-24167.5,35,554.254231
-20933.9,33,555.739103
-17147.6,39,557.649456
-9820.55,38,559.505958
-18871.0,24,561.341662
-10294.15,35,563.161532
-18137.5,32,564.768294
-22060.55,38,566.773575
-15049.65,30,568.78178
-26007.55,29,570.867635
-23012.7,29,572.994572
-20582.95,35,575.031976
-19091.2,31,576.578421
-17447.45,32,578.889169
-12583.35,32,580.627553
-24815.75,41,582.423783
-11227.0,33,583.859626
-11579.4,36,585.726817
-17578.8,32,587.812107
-31037.55,33,589.687465
-20942.8,26,591.687558
-14790.45,27,593.319073
-23014.2,28,595.11677
-25519.5,35,596.973173
-8949.65,31,598.473579
-15681.85,30,600.128441
-9987.25,37,601.740626
-11190.85,28,603.438749
-9943.4,27,605.197551
-12524.55,34,607.436872
-40391.4,28,609.057511
-9413.65,26,611.102434
-13313.65,28,613.238375
-17585.05,31,614.844568
-15699.1,28,616.769519
-12653.2,28,618.213549
-19340.9,41,620.323996
-10425.6,33,622.972324
-27532.85,29,625.078399
-14952.05,38,626.718472
-13095.05,33,628.662227
-23578.25,34,630.633318
-6256.95,29,632.438771
-11431.2,31,633.96189
-12066.55,36,636.570728
-13097.4,37,638.747588
-22592.3,37,640.567058
-25508.6,29,642.491098
-19325.0,23,644.008978
-20409.25,35,645.77695
-8149.7,27,647.816678
-42683.0,42,649.313404
-11870.2,38,651.750028
-15504.75,33,654.05569
-15100.45,37,655.775213
-6955.1,29,657.846352
-12406.5,31,659.332727
-19540.45,33,661.525297
-10697.45,32,663.453785
-25956.5,25,665.225205
-27979.45,30,667.273951
-19606.2,30,669.18749
-24070.55,27,671.446122
-19256.25,36,673.313276
-17930.8,39,675.433547
-19674.4,27,677.312166
-15821.0,25,679.426677
-26963.95,30,681.390375
-15398.95,30,683.630939
-13044.4,24,685.623446
-36772.15,35,687.567278
-8983.85,28,689.495572
-8975.25,25,691.287408
-10112.4,33,693.425034
-29392.55,37,694.939275
-26582.6,36,696.854667
-64866.0,41,698.929615
-20053.45,32,700.608443
-18391.2,37,702.979211
-42513.3,39,704.914005
-40834.55,39,707.337099
-22209.65,32,708.79329
-16891.6,33,710.617798
-15752.55,31,712.642329
-15231.2,28,714.620269
-15113.35,26,716.501127
-22102.75,30,718.648043
-17093.15,36,720.729869
-10868.2,28,722.945806
-16101.85,30,724.418778
-9218.2,28,725.86524
-13123.1,33,727.928705
-16133.1,29,729.411559
-15992.45,28,731.44805
-6418.9,34,733.776273
-33468.15,31,736.01634
-26642.6,34,737.925598
-7281.05,32,739.387816
-27661.7,33,741.542526
-11241.5,31,743.600355
-22097.3,36,745.311336
-10114.3,33,747.283451
-28893.65,27,749.019337
-24695.85,32,751.062227
-24466.8,29,753.203086
-23758.55,31,754.674001
-26846.2,29,756.753593
-10372.75,27,758.484591
-21937.5,33,759.918903
-21207.15,35,761.824167
-17067.95,39,763.765929
-16710.5,36,765.336354
-19471.65,31,767.389953
-18994.7,33,769.282962
-16531.2,27,771.479137
-19073.1,31,773.190241
-10328.65,32,774.914625
-18088.7,30,776.876446
-20823.95,36,779.125313
-12333.35,40,781.277176
-22128.45,40,783.227742
-21514.9,32,784.975194
-15990.25,28,786.953052
-8040.65,32,789.083819
-20288.0,28,790.931919
-30090.35,33,793.337223
-22520.4,26,794.895913
-17785.45,35,796.775894
-20150.6,26,798.622462
-30913.15,29,800.257399
-16323.85,40,802.594696
-14147.1,30,804.622974
-28887.95,31,806.455458
-33592.15,32,808.517124
-14806.2,37,810.130728
-28008.75,36,812.055136
-28546.05,33,813.850358
-19996.9,32,815.496801
-20319.5,35,817.356699
-10523.8,32,818.89589
-11230.7,31,820.877789
-24760.1,33,823.120738
-24105.9,41,824.983134
-10837.7,36,827.128156
-35155.95,37,828.613616
-20894.6,27,830.47944
-9315.3,24,832.31921
-23993.35,32,833.762764
-31536.05,40,835.580391
-10667.6,34,837.681297
-13400.45,39,839.711596
-33238.55,28,841.76301
