episode,reward
0,-37740.480892
1,-20371.691696
2,-55338.56728
3,-11591.925416
4,-16209.278708
5,-97515.899369
6,-14451.060466
7,-10684.134876
8,-68094.586847
9,-13976.900904
10,-21920.345912
11,-9711.748422
12,-18361.643866
13,-11143.706583
14,-21796.169927
15,-16510.477897
16,-38596.514929
17,-11622.765918
18,-36343.409094
19,-17458.802385
20,-11209.446913
21,-26121.323143
22,-28753.226293
23,-20435.61033
24,-12818.814498
25,-33046.775227
26,-39585.657615
27,-20937.988637
28,-39543.841187
29,-28069.430678
30,-18291.701065
31,-22180.258015
32,-20984.005998
33,-21665.284456
34,-15670.445465
35,-19432.828836
36,-13079.340034
37,-18183.468127
38,-24382.025736
39,-14659.029699
40,-18011.481565
41,-31602.416556
42,-27693.422402
43,-9619.487789
44,-17120.619077
45,-18505.382249
46,-49330.228504
47,-16702.430751
48,-15497.094138
49,-16293.367386
50,-21284.469586
51,-46694.28947
52,-21805.137245
53,-17695.130795
54,-19591.000203
55,-32027.020271
56,-12993.404699
57,-22535.057052
58,-64642.159659
59,-19095.090331
60,-16220.825186
61,-21552.877987
62,-12686.402659
63,-24021.215403
64,-13233.631177
65,-15115.470326
66,-31714.13883
67,-33546.422102
68,-21985.139432
69,-24369.572468
70,-16494.624884
71,-30550.868712
72,-25509.346396
73,-8463.924894
74,-21333.938974
75,-16320.364169
76,-9409.791068
77,-31068.912816
78,-22419.175875
79,-52950.630529
80,-17916.238959
81,-29187.711835
82,-13304.289001
83,-15325.566563
84,-22849.571036
85,-28235.872901
86,-21134.430888
87,-18726.68358
88,-44236.733187
89,-28071.174236
90,-12852.270503
91,-18521.647151
92,-21949.037442
93,-21799.886078
94,-29052.863108
95,-38670.447263
96,-19324.281131
97,-10493.874936
98,-21451.510747
99,-18425.096006
100,-36721.073489
101,-28597.84351
102,-22150.853051
103,-29694.54977
104,-7400.767776
105,-31692.695254
106,-31860.607867
107,-16165.669176
108,-10557.855449
109,-11339.834806
110,-22055.602984
111,-9822.772299
112,-19299.583392
113,-9645.219032
114,-10789.771981
115,-14513.101896
116,-15270.617512
117,-10967.257963
118,-27334.527282
119,-17629.825217
120,-51650.475476
121,-29376.257644
122,-15149.628521
123,-25093.310554
124,-8419.331815
125,-17901.110115
126,-13933.492216
127,-18449.674147
128,-32467.188309
129,-18340.836965
130,-16527.202996
131,-11241.267523
132,-22517.845689
133,-21229.470486
134,-64206.804287
135,-17619.805885
136,-20041.617779
137,-27960.919187
138,-7687.090789
139,-21382.306515
140,-13604.202188
141,-96800.611223
142,-30150.778067
143,-20078.107857
144,-10134.576339
145,-19587.471412
146,-33908.039096
147,-34600.814118
148,-18112.375435
149,-25286.900077
150,-14800.948032
151,-18229.909969
152,-15570.139696
153,-17122.047644
154,-28147.128684
155,-24185.74717
156,-32451.473253
157,-27727.073653
158,-24240.501675
159,-13506.028182
160,-20749.280551
161,-18535.586484
162,-46509.920719
163,-17504.572435
164,-16999.412945
165,-36019.008747
166,-37078.473068
167,-12173.81682
168,-12072.589408
169,-16321.968887
170,-13996.793845
171,-26393.985818
172,-13098.499994
173,-12909.046198
174,-23428.203456
175,-33133.285641
176,-21665.303494
177,-98386.150127
178,-21698.938181
179,-11959.630439
180,-20333.224778
181,-93424.020251
182,-11349.13383
183,-13403.144341
184,-28308.486395
185,-19665.067747
186,-17588.797289
187,-13615.186897
188,-26049.280143
189,-15229.628347
190,-22202.270428
191,-11570.927048
192,-18558.165329
193,-23475.907474
194,-14739.898659
195,-42702.848294
196,-15178.962195
197,-38213.045534
198,-40462.955115
199,-21899.171658
200,-39355.246295
201,-15418.1071
202,-20819.834641
203,-13630.094588
204,-22680.901201
205,-21465.928958
206,-22684.839933
207,-12735.339545
208,-21122.067052
209,-17218.353712
210,-18919.752828
211,-70103.493081
212,-10652.382955
213,-24214.144581
214,-12067.898699
215,-26857.534029
216,-22887.267503
217,-42319.741784
218,-7842.64002
219,-19022.715878
220,-21027.45
221,-27157.521122
222,-48463.525997
223,-33736.077812
224,-30434.774884
225,-9680.735299
226,-7008.826197
227,-16451.039598
228,-18748.656262
229,-14223.375473
230,-18170.371647
231,-16891.350499
232,-14194.646592
233,-78824.462957
234,-20363.767298
235,-16649.811343
236,-16822.093404
237,-16915.364591
238,-67491.678367
239,-38262.44062
240,-15578.746312
241,-11731.779973
242,-18883.349737
243,-19261.689162
244,-24633.841003
245,-14920.745798
246,-14841.419248
247,-24956.081742
248,-31224.551397
249,-18435.369459
250,-26842.293809
251,-13846.129624
252,-16940.480649
253,-13668.928541
254,-26288.613016
255,-17009.5902
256,-19926.917126
257,-15772.972708
258,-13223.136918
259,-10853.862955
260,-47723.405499
261,-19804.212501
262,-8792.055927
263,-15003.682374
264,-16011.224808
265,-13134.791152
266,-15056.584274
267,-15837.216763
268,-28429.856519
269,-14073.764767
270,-14749.99105
271,-29204.257506
272,-20748.938421
273,-9046.930372
274,-15608.74895
275,-35183.017243
276,-16434.546431
277,-16199.139654
278,-13891.906583
279,-14513.241202
280,-8233.867192
281,-78224.619054
282,-111037.416552
283,-19482.05
284,-18019.248073
285,-29301.951077
286,-28472.794806
287,-23854.5593
288,-25771.923961
289,-22814.651009
290,-16638.818056
291,-18928.150303
292,-13905.119283
293,-11167.213484
294,-27506.157192
295,-15924.754956
296,-10915.274365
297,-12769.487391
298,-15176.298123
299,-20959.032908
300,-36520.541564
301,-19644.118456
302,-21728.096126
303,-13422.847114
304,-31008.251904
305,-15167.71397
306,-30298.366972
307,-20523.755599
308,-35152.530449
309,-10919.776398
310,-20741.682257
311,-34248.01219
312,-11726.641174
