#{"t_start": 1746373869.0598993, "env_id": "None"}
r,l,t
-37740.480892,35,2.340243
-20371.691696,30,4.119834
-55338.56728,32,5.62092
-11591.925416,29,7.16422
-16209.278708,33,8.783861
-97515.899369,30,10.481525
-14451.060466,26,11.88788
-10684.134876,31,13.328057
-68094.586847,32,14.976788
-13976.900904,34,16.886244
-21920.345912,36,18.351376
-9711.748422,32,20.162753
-18361.643866,30,21.918202
-11143.706583,30,23.421492
-21796.169927,36,24.999945
-16510.477897,33,26.453676
-38596.514929,33,28.321749
-11622.765918,34,29.787403
-36343.409094,34,31.308614
-17458.802385,29,33.070467
-11209.446913,33,34.952211
-26121.323143,40,36.478214
-28753.226293,32,38.334184
-20435.61033,44,40.383339
-12818.814498,30,41.844836
-33046.775227,27,43.595847
-39585.657615,28,45.321281
-20937.988637,32,46.920743
-39543.841187,33,48.740461
-28069.430678,37,50.612946
-18291.701065,27,52.741179
-22180.258015,35,54.375319
-20984.005998,31,56.349977
-21665.284456,33,57.951252
-15670.445465,28,59.478078
-19432.828836,35,61.244273
-13079.340034,27,63.034417
-18183.468127,34,64.603741
-24382.025736,30,66.444498
-14659.029699,36,68.295518
-18011.481565,32,69.730875
-31602.416556,38,71.43807
-27693.422402,35,73.441655
-9619.487789,32,74.899708
-17120.619077,29,76.339042
-18505.382249,28,77.867897
-49330.228504,33,79.976405
-16702.430751,28,81.573581
-15497.094138,37,83.201298
-16293.367386,31,84.817118
-21284.469586,26,86.428967
-46694.28947,37,88.304842
-21805.137245,28,89.794296
-17695.130795,29,91.775337
-19591.000203,31,93.687078
-32027.020271,33,95.581432
-12993.404699,34,97.666245
-22535.057052,34,99.584019
-64642.159659,32,101.463746
-19095.090331,26,103.077782
-16220.825186,35,104.91846
-21552.877987,27,106.84061
-12686.402659,28,108.637386
-24021.215403,27,110.48475
-13233.631177,30,112.040483
-15115.470326,26,113.976312
-31714.13883,34,115.780018
-33546.422102,41,117.640481
-21985.139432,34,119.485733
-24369.572468,27,121.186578
-16494.624884,28,122.813935
-30550.868712,39,124.752754
-25509.346396,29,126.512896
-8463.924894,32,128.049041
-21333.938974,29,129.896692
-16320.364169,34,131.689778
-9409.791068,27,133.437303
-31068.912816,30,134.951424
-22419.175875,34,136.414873
-52950.630529,34,138.144243
-17916.238959,35,139.932528
-29187.711835,35,141.7102
-13304.289001,29,143.337318
-15325.566563,33,145.169384
-22849.571036,30,146.869698
-28235.872901,29,148.807436
-21134.430888,29,150.530626
-18726.68358,34,152.179284
-44236.733187,48,154.154782
-28071.174236,36,155.805504
-12852.270503,27,157.662498
-18521.647151,29,159.475168
-21949.037442,30,161.120645
-21799.886078,31,163.106984
-29052.863108,32,164.94749
-38670.447263,28,166.728862
-19324.281131,28,168.743694
-10493.874936,31,170.533973
-21451.510747,31,172.513168
-18425.096006,32,174.415862
-36721.073489,34,175.924413
-28597.84351,30,178.005749
-22150.853051,42,179.766808
-29694.54977,32,181.357702
-7400.767776,30,183.07463
-31692.695254,32,185.145799
-31860.607867,33,186.832969
-16165.669176,27,188.517505
-10557.855449,27,190.421761
-11339.834806,27,192.382516
-22055.602984,40,194.236898
-9822.772299,28,195.823539
-19299.583392,24,197.641434
-9645.219032,33,199.36309
-10789.771981,29,201.175726
-14513.101896,34,203.04185
-15270.617512,33,204.556058
-10967.257963,28,206.022845
-27334.527282,39,207.536406
-17629.825217,30,209.14244
-51650.475476,38,210.833409
-29376.257644,30,212.266463
-15149.628521,38,214.128885
-25093.310554,34,216.174187
-8419.331815,29,217.916299
-17901.110115,36,220.248183
-13933.492216,32,221.928549
-18449.674147,31,223.679046
-32467.188309,26,225.117365
-18340.836965,36,226.774399
-16527.202996,29,228.484432
-11241.267523,27,230.233238
-22517.845689,39,232.050292
-21229.470486,34,233.771433
-64206.804287,31,235.644083
-17619.805885,29,237.385597
-20041.617779,39,239.374849
-27960.919187,29,240.957243
-7687.090789,24,242.828907
-21382.306515,33,244.601806
-13604.202188,39,246.135783
-96800.611223,34,248.132205
-30150.778067,35,249.92613
-20078.107857,31,251.832539
-10134.576339,33,253.679913
-19587.471412,35,255.515932
-33908.039096,35,257.491013
-34600.814118,33,259.644319
-18112.375435,31,261.409142
-25286.900077,30,262.906087
-14800.948032,29,264.542613
-18229.909969,34,266.155863
-15570.139696,28,267.90288
-17122.047644,35,269.588741
-28147.128684,30,271.383549
-24185.74717,34,272.995577
-32451.473253,30,274.836743
-27727.073653,27,276.444491
-24240.501675,31,278.173757
-13506.028182,29,279.917108
-20749.280551,28,281.567474
-18535.586484,30,283.570645
-46509.920719,37,285.327221
-17504.572435,25,287.13045
-16999.412945,32,289.266021
-36019.008747,37,290.970248
-37078.473068,36,292.971071
-12173.81682,34,294.854217
-12072.589408,26,296.298496
-16321.968887,38,298.093799
-13996.793845,36,300.062961
-26393.985818,31,301.79066
-13098.499994,31,303.529856
-12909.046198,27,305.45918
-23428.203456,27,307.115857
-33133.285641,30,308.801962
-21665.303494,26,310.696895
-98386.150127,33,312.67106
-21698.938181,31,314.376517
-11959.630439,29,315.849363
-20333.224778,33,317.786184
-93424.020251,33,319.608459
-11349.13383,34,321.307758
-13403.144341,33,322.99261
-28308.486395,34,324.672484
-19665.067747,31,326.209659
-17588.797289,31,328.099742
-13615.186897,37,329.788489
-26049.280143,28,331.598161
-15229.628347,24,333.278853
-22202.270428,31,334.964923
-11570.927048,32,336.531924
-18558.165329,29,338.232646
-23475.907474,33,340.000094
-14739.898659,33,341.847423
-42702.848294,33,343.818545
-15178.962195,29,345.663532
-38213.045534,31,347.481799
-40462.955115,27,349.38619
-21899.171658,31,351.151181
-39355.246295,35,353.183728
-15418.1071,27,354.826287
-20819.834641,38,356.570992
-13630.094588,31,358.535816
-22680.901201,40,360.20963
-21465.928958,37,362.016379
-22684.839933,29,363.570333
-12735.339545,33,365.337873
-21122.067052,35,366.78774
-17218.353712,33,368.339416
-18919.752828,29,369.980176
-70103.493081,39,371.696826
-10652.382955,29,373.24376
-24214.144581,30,374.700518
-12067.898699,29,376.340155
-26857.534029,32,378.096466
-22887.267503,32,379.63993
-42319.741784,30,381.533014
-7842.64002,26,383.008307
-19022.715878,35,385.404133
-21027.45,28,386.819761
-27157.521122,26,388.258418
-48463.525997,40,389.89401
-33736.077812,34,391.502345
-30434.774884,34,393.174008
-9680.735299,27,394.851016
-7008.826197,27,396.346958
-16451.039598,43,397.833733
-18748.656262,32,399.36752
