#{"t_start": 1746347529.0936878, "env_id": "None"}
r,l,t
-18654.819423,38,1.970313
-10656.589932,27,3.691239
-15843.412696,34,6.024153
-14382.018221,32,8.283331
-16591.846914,25,10.612244
-17019.685045,32,12.213346
-39120.28011,40,14.132551
-11500.284759,25,15.634781
-28553.725218,39,17.714383
-16407.60078,30,20.76046
-28196.805778,36,22.861864
-27704.715298,32,24.32984
-91141.822424,34,26.356613
-14342.327801,33,28.310652
-13916.67329,37,30.103616
-26287.81601,39,31.729996
-11366.492895,37,34.099094
-9338.921686,28,36.025305
-12472.693378,28,38.198456
-31670.804118,26,40.189621
-23119.457523,34,41.752244
-11680.995482,34,43.477962
-12999.330808,35,45.7595
-15498.717049,37,48.024077
-13124.72641,34,50.079648
-21896.908272,31,51.84593
-11675.058658,32,53.810207
-29276.889239,35,56.067293
-18843.408941,31,58.211935
-33819.076564,41,60.567236
-23734.545075,33,62.40168
-44916.177284,29,64.086692
-38823.793908,36,66.10321
-43308.614157,29,68.104747
-11334.365257,28,69.941381
-16919.772444,29,71.939476
-22295.251826,27,73.863092
-44640.463241,36,76.072834
-39649.549788,31,77.908496
-15895.513583,34,80.05787
-24163.505655,39,82.105458
-22580.376206,29,84.108621
-18674.17126,25,86.107087
-52524.441002,32,87.587048
-26227.444322,35,89.524
-11702.817265,29,91.355304
-8562.254607,29,93.548667
-19578.805828,34,95.446114
-14830.366715,31,97.103358
-12663.763703,32,98.7726
-30470.818569,39,100.822395
-22120.914059,35,102.446288
-22613.138355,32,104.068038
-16340.786532,35,105.824499
-21589.823158,31,107.682505
-11405.924231,30,109.556597
-10388.311965,30,111.693291
-34374.763959,34,114.141455
-30254.540651,26,116.072084
-10714.259317,30,118.076183
-20586.021815,30,120.002355
-22916.890274,36,121.929742
-50795.091427,44,124.288125
-15181.217666,31,126.277642
-29957.009027,31,127.892506
-26142.304564,30,129.658467
-13471.984404,30,131.887861
-48822.006097,31,133.910202
-30265.123937,30,136.062997
-18121.670552,31,137.450951
-19843.929501,37,139.746534
-18358.024104,31,141.715762
-11246.035132,38,144.099765
-82971.156085,33,145.956953
-23791.39774,27,147.635916
-36912.651849,30,149.88764
-23025.400731,24,151.768187
-40894.626383,38,153.272264
-30024.227222,29,155.190259
-31813.493731,34,156.9259
-13201.538278,35,158.565347
-26075.730442,39,161.069158
-17911.525607,31,162.741035
-14712.289999,28,164.235818
-15860.237895,40,166.415694
-7857.754423,29,167.898232
-26294.017493,30,169.993899
-16465.427934,29,171.799627
-14946.313704,28,173.65036
-23687.453707,32,175.825332
-21904.889366,32,177.823719
-29449.579993,48,180.026052
-29543.487693,29,181.925169
-29873.104482,37,183.346886
-20381.908978,29,186.023959
-32725.042078,31,187.868356
-13751.522846,33,190.222767
-33392.385327,35,192.370981
-14867.460597,27,194.184201
-7417.403883,32,196.213188
-35222.046324,33,198.080505
-16348.244573,29,200.64173
-24003.889445,36,202.615328
-46498.962602,33,204.727108
