#{"t_start": 1746341201.3349664, "env_id": "None"}
r,l,t
-32989.5,30,1.688356
-35659.0,25,3.539253
-42607.0,35,5.672978
-12846.5,35,8.207367
-10751.0,27,10.252001
-21588.0,34,12.610991
-17383.0,28,14.273939
-25694.5,30,16.119199
-17360.5,32,18.346823
-21259.5,27,20.596932
-16092.0,27,22.488074
-20270.0,31,24.561238
-20039.0,32,26.281748
-16447.5,24,28.427783
-52682.5,29,30.958943
-14474.0,30,32.475088
-46134.5,32,33.875257
-31301.0,38,36.220338
-47697.0,35,38.067997
-7261.5,30,40.340314
-17936.5,31,42.161865
-58284.5,31,43.982725
-12816.0,36,46.201866
-36023.5,40,48.060168
-15944.5,35,50.040671
-31132.5,29,51.702027
-19583.0,39,53.975632
-11757.5,36,56.209014
-20438.0,28,58.192755
-14995.0,35,60.086813
-17179.5,29,61.753035
-16707.5,38,63.851821
-20523.0,27,66.025838
-12151.5,27,67.93489
-39996.5,26,69.534556
-23843.0,29,71.671084
-17858.5,35,73.952713
-18319.0,26,75.955335
-15883.5,34,77.418094
-15069.5,33,79.510436
-13071.0,30,81.455798
-15697.0,32,83.721963
-10984.0,28,85.691548
-10339.5,30,87.313277
-19165.5,32,89.288062
-11648.0,29,91.012748
-9612.5,28,92.662557
-10445.5,33,94.531611
-21885.0,36,96.832227
-24473.5,35,98.469697
-14960.0,28,100.589744
-20287.0,33,102.228655
-21475.0,28,103.930151
-28413.0,31,106.145715
-15609.5,41,108.558756
-14250.0,38,110.319675
-24190.5,26,112.246758
-25995.0,39,114.420662
-16108.0,31,116.162272
-18762.0,34,117.581203
-9699.0,34,119.63727
-19908.0,31,121.712116
-17848.0,29,123.792985
-17161.5,30,125.486713
-30067.5,40,127.602278
-30127.5,28,129.46086
-17273.5,32,131.459686
-20063.0,31,132.894061
-35495.0,33,134.564499
-14122.0,31,136.837103
-20545.0,26,139.17311
-41591.5,40,141.395743
-35167.0,31,142.947339
-25842.0,37,144.598709
-16559.5,33,146.34442
-21241.5,30,147.952188
-28394.0,27,149.645849
-17558.5,29,152.102908
-16880.0,32,153.840559
-17805.0,28,156.615586
-10245.5,32,158.161021
-22863.5,36,160.187509
-20044.5,35,162.646405
-38278.5,32,164.34406
-14429.5,33,166.496805
-35782.5,34,168.267234
-42710.5,40,170.468954
-16254.0,29,172.757876
-15040.0,28,174.8133
-46394.5,36,177.062639
-18291.5,34,178.495918
-18706.0,30,180.519422
-36595.0,33,182.64243
-22381.5,30,184.349811
-10436.0,35,186.310961
-14955.5,35,188.304438
-25311.0,27,190.462197
-32410.5,25,192.696421
-35815.0,34,194.491493
-19001.0,32,196.3936
-39509.0,40,198.494022
-38290.5,32,200.566069
-29136.5,34,202.705108
-16784.5,31,204.55355
-18206.5,37,206.591831
-17774.5,34,208.438139
-17011.0,32,210.514655
-12324.5,34,212.664141
-26123.0,33,214.122882
-19141.5,32,216.433969
-11370.0,24,218.679754
-11792.0,30,220.701991
-23758.0,31,222.654372
-26343.0,27,224.095623
-30663.5,35,226.269621
-17163.5,33,228.228967
-57854.5,47,230.696862
-13761.5,29,232.83481
-12368.0,29,234.406068
-20506.5,31,236.358083
-25497.5,30,238.286804
-17398.5,32,240.135875
-25831.5,36,242.188188
-44946.5,26,244.052642
-15946.5,33,245.877433
-25621.5,32,247.852302
-22248.0,33,249.494015
-34284.5,43,251.712825
-16809.5,30,253.752083
-21529.5,31,255.495668
-20094.0,33,257.978771
-9266.0,29,259.46839
-18328.5,33,261.363879
-12924.5,35,263.424576
-21913.5,32,265.553944
-11848.0,33,267.429356
-17814.5,28,269.327281
-54840.0,36,271.246991
-21801.5,30,273.050481
-37769.0,34,274.696121
-40499.5,34,277.203343
-20806.5,33,279.283679
-21479.0,34,281.240277
-18408.0,30,283.316958
-23796.5,31,284.814479
-39148.0,39,287.240622
-38419.0,30,289.048827
-20772.0,29,290.979971
-20947.5,36,293.637286
-10384.0,31,295.057571
-8971.5,26,297.204279
-17441.5,31,299.060324
-15373.0,34,301.189312
-31746.0,39,303.197447
-8470.0,34,305.089409
-23901.0,36,306.851874
-16789.0,33,308.96415
-26262.0,39,310.470714
-19820.5,34,312.905077
-37247.5,36,314.657333
-9813.0,28,316.493851
-21169.0,26,318.823201
-49867.0,28,320.406641
-18562.5,35,322.425006
-16173.0,38,324.407323
-27741.5,28,326.455984
-28848.5,30,328.312601
-15620.0,31,330.275003
-29528.5,31,332.356004
-32412.0,33,334.055735
-11737.5,25,335.505579
-21609.5,34,338.077001
-21055.0,29,339.931815
-12057.0,32,342.133769
-25708.5,29,343.821046
-10981.0,28,345.624385
-33973.5,32,347.824227
-12879.5,34,349.369262
-14631.0,33,350.79355
-11979.0,38,352.882447
-12688.0,29,354.752926
-14594.5,37,356.622118
-9294.0,33,358.622213
-15966.0,34,360.361405
-10203.5,37,362.324192
-16776.0,38,363.849926
-12004.0,28,365.821041
-18553.5,32,367.9214
-11473.5,30,369.586842
-15692.5,36,372.204169
-17363.5,29,373.951741
-11355.5,30,376.088086
-19589.0,37,378.334269
-33991.5,34,379.944691
-23660.0,38,382.364563
-19802.0,37,384.13525
-18393.0,38,385.836
-27368.0,34,387.895878
-10771.0,32,389.343274
-28297.5,31,391.087462
-41287.5,35,392.583367
-15779.5,25,394.043223
-15744.0,33,396.213475
-15496.5,32,398.253409
