episode,reward
0,-32989.5
1,-35659.0
2,-42607.0
3,-12846.5
4,-10751.0
5,-21588.0
6,-17383.0
7,-25694.5
8,-17360.5
9,-21259.5
10,-16092.0
11,-20270.0
12,-20039.0
13,-16447.5
14,-52682.5
15,-14474.0
16,-46134.5
17,-31301.0
18,-47697.0
19,-7261.5
20,-17936.5
21,-58284.5
22,-12816.0
23,-36023.5
24,-15944.5
25,-31132.5
26,-19583.0
27,-11757.5
28,-20438.0
29,-14995.0
30,-17179.5
31,-16707.5
32,-20523.0
33,-12151.5
34,-39996.5
35,-23843.0
36,-17858.5
37,-18319.0
38,-15883.5
39,-15069.5
40,-13071.0
41,-15697.0
42,-10984.0
43,-10339.5
44,-19165.5
45,-11648.0
46,-9612.5
47,-10445.5
48,-21885.0
49,-24473.5
50,-14960.0
51,-20287.0
52,-21475.0
53,-28413.0
54,-15609.5
55,-14250.0
56,-24190.5
57,-25995.0
58,-16108.0
59,-18762.0
60,-9699.0
61,-19908.0
62,-17848.0
63,-17161.5
64,-30067.5
65,-30127.5
66,-17273.5
67,-20063.0
68,-35495.0
69,-14122.0
70,-20545.0
71,-41591.5
72,-35167.0
73,-25842.0
74,-16559.5
75,-21241.5
76,-28394.0
77,-17558.5
78,-16880.0
79,-17805.0
80,-10245.5
81,-22863.5
82,-20044.5
83,-38278.5
84,-14429.5
85,-35782.5
86,-42710.5
87,-16254.0
88,-15040.0
89,-46394.5
90,-18291.5
91,-18706.0
92,-36595.0
93,-22381.5
94,-10436.0
95,-14955.5
96,-25311.0
97,-32410.5
98,-35815.0
99,-19001.0
100,-39509.0
101,-38290.5
102,-29136.5
103,-16784.5
104,-18206.5
105,-17774.5
106,-17011.0
107,-12324.5
108,-26123.0
109,-19141.5
110,-11370.0
111,-11792.0
112,-23758.0
113,-26343.0
114,-30663.5
115,-17163.5
116,-57854.5
117,-13761.5
118,-12368.0
119,-20506.5
120,-25497.5
121,-17398.5
122,-25831.5
123,-44946.5
124,-15946.5
125,-25621.5
126,-22248.0
127,-34284.5
128,-16809.5
129,-21529.5
130,-20094.0
131,-9266.0
132,-18328.5
133,-12924.5
134,-21913.5
135,-11848.0
136,-17814.5
137,-54840.0
138,-21801.5
139,-37769.0
140,-40499.5
141,-20806.5
142,-21479.0
143,-18408.0
144,-23796.5
145,-39148.0
146,-38419.0
147,-20772.0
148,-20947.5
149,-10384.0
150,-8971.5
151,-17441.5
152,-15373.0
153,-31746.0
154,-8470.0
155,-23901.0
156,-16789.0
157,-26262.0
158,-19820.5
159,-37247.5
160,-9813.0
161,-21169.0
162,-49867.0
163,-18562.5
164,-16173.0
165,-27741.5
166,-28848.5
167,-15620.0
168,-29528.5
169,-32412.0
170,-11737.5
171,-21609.5
172,-21055.0
173,-12057.0
174,-25708.5
175,-10981.0
176,-33973.5
177,-12879.5
178,-14631.0
179,-11979.0
180,-12688.0
181,-14594.5
182,-9294.0
183,-15966.0
184,-10203.5
185,-16776.0
186,-12004.0
187,-18553.5
188,-11473.5
189,-15692.5
190,-17363.5
191,-11355.5
192,-19589.0
193,-33991.5
194,-23660.0
195,-19802.0
196,-18393.0
197,-27368.0
198,-10771.0
199,-28297.5
200,-41287.5
201,-15779.5
202,-15744.0
203,-15496.5
204,-27701.0
205,-17277.0
206,-10160.0
207,-9027.0
208,-10363.0
209,-56808.5
210,-26470.5
211,-22656.0
212,-20458.0
213,-17627.0
214,-14458.5
215,-13423.5
216,-32406.5
217,-10509.5
218,-24004.5
219,-26761.0
220,-32111.0
221,-15774.0
222,-15412.5
223,-18518.5
224,-10872.5
225,-17032.0
226,-19719.5
227,-13152.0
228,-24947.0
229,-35199.0
230,-31555.5
231,-13761.0
232,-18127.0
233,-15113.0
234,-18211.0
235,-15411.5
236,-27848.0
