#{"t_start": 1746328963.0101767, "env_id": "None"}
r,l,t
-75069.094438,32,1.859755
-23303.711199,39,4.045531
-17510.484532,32,6.366607
-14268.764591,34,8.031572
-29608.345501,32,9.780864
-310790.77593,26,11.901728
-10799.903449,31,13.786298
-23639.171608,38,15.542239
-40911.053031,34,17.440301
-77873.54002,38,19.515601
-17910.977369,36,21.405726
-19806.679527,28,23.317373
-253358.495153,30,24.925677
-163206.709436,29,26.923059
-32213.340938,34,29.065434
-42868.31551,28,30.791414
-45616.614888,38,33.266345
-350316.082055,32,34.913817
-139971.973469,30,36.585312
-15434.964025,33,38.374969
-9614.739814,29,40.062063
-119906.243254,25,42.163884
-10267.81542,26,44.069464
-13575.67136,35,45.857444
-37291.761901,35,48.007742
-23851.738295,31,49.738113
-16141.574959,30,51.627166
-11710.037496,34,54.184966
-297452.58205,39,55.682226
-29867.582308,38,57.253927
-14863.081865,32,59.344946
-11102.750468,24,60.882076
-218391.886544,26,62.906343
-10502.902611,31,64.979958
-10920.264485,29,67.141826
-28183.706812,36,69.25451
-15742.901009,31,70.785243
-163242.370711,25,72.956462
-184941.793801,37,75.095382
-9306.159523,30,77.041967
-34196.807276,36,79.497188
-14045.519475,36,81.001225
-67109.64589,35,83.538509
-25697.959562,31,85.421497
-29971.808196,37,86.949267
-129554.155143,31,88.834991
-25514.636774,32,90.904732
-14639.6399,26,92.60377
-16632.144309,30,94.42394
-19803.68569,34,96.263771
-9556.14001,36,98.252073
-14112.738773,34,100.031782
-85898.030543,30,101.561258
-18522.673157,35,103.957258
-12677.179118,26,106.060755
-11560.706952,30,108.028548
-7595.962263,31,109.844782
-35049.223046,39,111.772646
-9213.79888,34,113.387104
-77216.344659,33,114.910554
-18152.496453,31,116.543427
-12519.697611,30,117.93582
-10337.347949,25,119.526123
-37528.150318,28,121.454276
-29060.743588,34,123.585144
-115847.286271,24,125.045882
-188145.659626,28,127.386602
-34342.292534,32,129.082202
-254812.48602,27,131.087596
-8825.169024,32,133.034691
-13993.594611,28,134.838935
-20550.288714,38,137.126179
-16056.124982,38,139.079062
-253131.115451,37,141.576965
-30959.710146,28,143.468372
-43802.704076,32,145.413065
-9033.568311,34,147.462701
-72486.712631,37,149.304848
-12446.837837,33,151.415035
-22280.015349,32,154.169955
-34179.976702,33,155.847853
-22051.996527,39,157.78006
-21053.943839,42,159.565507
-118987.65442,30,161.474057
-252846.790201,27,163.345208
