#{"t_start": 1746340301.3431327, "env_id": "None"}
r,l,t
-8971.7,32,1.641498
-23347.95,41,3.409147
-10166.9,28,5.151317
-9161.4,25,7.440295
-26127.3,33,8.881422
-20946.65,28,10.913412
-30398.95,38,13.217836
-15368.7,32,15.444863
-42656.45,32,17.496542
-31718.7,39,19.127314
-27211.3,38,21.115456
-15269.8,32,23.200497
-27048.45,27,25.441211
-25766.2,31,26.899707
-26216.55,32,28.975585
-41604.5,35,31.065735
-15499.4,38,32.768126
-23009.7,27,34.239447
-14784.3,28,36.1823
-15382.4,34,38.157479
-24327.3,28,40.142006
-18782.8,32,42.03353
-20533.7,33,44.071741
-13134.95,36,46.068773
-21940.8,30,47.79654
-24673.95,31,49.794531
-18028.65,30,51.510241
-63191.25,33,53.513675
-18377.4,26,55.51154
-43529.25,37,57.26147
-14962.7,35,59.000148
-20188.4,29,61.555487
-17872.8,36,63.601245
-17084.0,29,65.08245
-23198.55,29,67.064542
-16470.05,29,68.840037
-20194.5,38,70.884612
-22230.2,34,72.696509
-18138.65,33,74.166377
-13817.05,32,76.180856
-15947.0,35,77.97373
-33935.0,25,79.984276
-19760.35,32,82.082139
-18176.95,31,84.155214
-11990.25,37,87.229347
-48509.9,37,88.971573
-28038.7,31,90.997721
-19091.05,31,92.417248
-25535.3,27,94.266101
-12347.55,29,96.327894
-15622.85,37,98.607263
-25331.6,32,100.333463
-32591.6,40,101.923164
-31151.4,34,104.024049
-17959.45,44,105.698121
-35963.65,34,107.3063
-14622.1,29,108.879004
-22193.8,34,110.908536
-16769.55,26,113.012218
-12947.75,35,114.805993
-10818.05,33,116.898554
-16355.05,34,118.800954
-21759.65,36,120.79031
-59183.65,33,122.328075
-16085.15,36,124.610029
-63573.25,34,126.577916
-15839.8,36,128.965796
-23219.1,33,130.863768
-12886.8,32,132.360353
-18420.85,29,134.35984
-23566.8,27,136.52349
-27751.4,37,138.921535
-25131.3,29,141.763148
-8938.7,32,143.724566
-20383.0,35,145.732329
-16903.5,30,147.460639
-17815.65,26,149.294036
-19620.7,25,151.377345
-15781.95,30,152.812856
-27003.65,38,154.59775
-36212.95,30,156.497969
-28990.95,28,158.695894
-24508.9,36,160.866761
-11071.85,30,163.005827
-29034.0,37,165.118829
-61072.8,35,167.292974
-22523.7,30,169.187528
-32089.5,30,170.874843
-13542.25,36,172.965337
