#{"t_start": 1746312695.3690205, "env_id": "None"}
r,l,t
-26599.422182,38,1.584912
-774824.741171,25,2.991132
-106891.249894,34,4.436183
-44579.101351,32,5.88583
-38245.851038,27,7.308013
-85889.607457,32,8.736941
-112446.735055,34,10.17008
-1378311.726891,41,11.655656
-37229.350986,34,13.090996
-19607.0,34,14.513957
-1343125.169677,32,15.962615
-595941.015952,34,17.40165
-284741.047347,30,18.839447
-18512.164176,40,20.290148
-265136.570228,29,21.694495
-139440.661795,49,23.236004
-27542.966426,34,24.681246
-181422.604296,34,26.129549
-13761.761672,28,27.531083
-950278.256731,30,28.967438
-50506.545189,34,30.423247
-397815.114756,33,31.848574
-530239.083309,25,33.259961
-874954.844728,27,34.664266
-358133.389025,36,36.105526
-1116203.889581,34,37.578039
-70779.983085,37,39.023618
-511231.726977,35,40.47793
-8029.805094,29,41.871072
-827230.376057,26,43.297444
-782102.181105,37,49.384648
-66711.422278,32,50.802943
-1408781.643453,32,52.252299
-602997.592818,33,53.711485
-562930.245385,32,55.131361
-767274.930393,31,56.548589
-43066.339473,35,57.987141
-16911.587564,28,59.393499
-39074.818032,31,60.8065
-183447.140835,30,62.190041
-20495.785058,33,63.622273
-337031.581703,32,65.047288
-555380.434175,26,66.459253
-23274.7703,39,67.911899
-64995.941219,30,69.322854
-57065.26974,35,70.751199
-231576.600821,41,72.196517
-89636.294114,34,73.633947
-114961.063147,32,75.054939
-408934.467262,37,76.516265
-178448.860068,32,77.95026
-114813.790023,32,79.385368
-20309.140081,40,80.825555
-611997.570967,28,82.229922
-707482.008751,25,83.626585
-91637.277711,32,85.062587
-15639.204132,28,86.456898
-442334.473249,33,87.900701
-349806.16089,31,89.353009
-43639.583711,29,90.759722
-58333.838905,31,92.180593
-110278.190545,35,97.837045
-839504.165444,32,99.26983
-963419.178066,33,100.726362
-20526.202069,29,102.13209
-11355.715184,30,103.531822
-232268.725908,29,104.955184
-548782.661206,33,106.388703
-48070.671991,29,107.784595
-320682.387917,35,109.240424
-14718.836094,32,110.647063
-15139.198477,32,112.060386
-26447.387208,39,113.525558
-28493.879367,46,115.019213
-43570.755935,31,116.422549
-9320.815105,31,117.828949
-928133.450338,32,119.268748
-755304.581721,29,120.67842
-14633.026418,41,122.129948
-41080.06529,39,123.5729
-568065.09142,32,125.018416
-256794.259765,31,126.446824
-235856.438455,31,127.873571
-193757.990968,35,129.321911
-53715.169453,31,130.743705
-67809.381518,37,132.174767
-111251.036743,24,133.570463
-632494.523763,30,134.999017
-117018.679948,35,136.448422
-97206.597936,38,137.919385
-466946.453198,32,139.337483
-18497.439984,40,145.775142
-105431.989017,24,147.190628
-707163.671506,24,148.587683
-37281.669953,27,149.982639
-26151.43446,30,151.394598
-622242.466628,35,152.83416
-815561.192258,40,154.308089
-403239.182704,32,155.76065
-360805.32396,33,157.192114
-15007.937431,35,158.60945
-23140.519544,36,160.039865
-591208.190299,37,161.514135
-19599.410122,33,162.939098
-81340.92629,29,164.341659
-172384.543534,36,165.79205
-86443.586084,42,167.274116
-19742.606187,36,168.686573
-69731.023397,26,170.07901
-73313.202863,27,171.472469
-837393.951689,28,172.890658
-31473.903488,39,174.337327
-573705.226245,30,175.743832
-358542.148771,32,177.177903
-149855.467893,28,178.596364
-58000.514169,32,180.011918
-753161.258349,32,181.445732
-157769.336474,32,182.872325
-15063.166615,35,184.294342
-1032914.794648,32,185.73389
-151802.863066,34,187.197678
-201619.954925,36,188.637801
-1065810.941076,28,194.952399
-72179.846297,39,196.407029
-58972.529995,32,197.827107
-86007.837512,32,199.249596
-10241.156094,33,200.655096
-16838.70504,27,202.039197
-111966.38011,31,203.443755
-24606.784623,30,204.858405
-50283.418118,29,206.249948
-36740.478994,35,207.693958
-30692.060785,29,209.09885
-534114.998919,41,210.572947
-13004.529121,35,212.002265
-638847.06095,46,213.507197
-13888.813769,30,214.91256
-16683.562173,32,216.33607
-187717.830387,37,217.792265
-64363.351742,32,219.211756
-168425.4478,33,220.636968
-74981.271212,30,222.052634
-496960.354364,39,223.533335
-640594.554137,34,224.981553
-445610.996306,28,226.384512
-13203.458886,30,227.804158
-257843.527479,23,229.192325
-151104.958399,36,230.648746
-610259.303347,33,232.086224
-198197.253725,24,233.475238
-183885.455806,32,234.884372
-27578.828357,39,236.338941
-77097.608332,29,242.426428
-23531.271976,37,243.877835
-40712.719366,34,245.309483
-54237.089784,34,246.734088
-29486.639839,33,248.148582
-133213.647546,38,249.611447
-807042.931511,26,251.022905
-64369.953114,45,252.498304
-755457.629868,26,253.913085
-30793.562868,35,255.358334
-345786.347471,31,256.77081
-91124.88907,27,258.166435
-749078.193043,32,259.625399
-590709.370716,34,261.068102
-737440.294981,31,262.5014
-41899.514315,33,263.924456
-787257.902902,31,265.352516
-96287.856991,37,266.806214
-214625.191183,29,268.213967
-13441.5,35,269.624949
-171902.050921,29,271.04006
-425183.160019,39,272.494848
-673569.541923,28,273.895801
-74665.570038,30,275.300596
-39422.656893,29,276.710289
-684204.419625,25,278.124183
-193407.610721,36,279.570521
-92901.965602,36,281.039191
-143477.608927,25,282.438001
-69397.44267,36,283.889337
-358748.906335,35,285.342292
-27693.694741,34,291.250145
-266974.098223,32,292.67847
-490737.278043,30,294.094728
-388767.147981,24,295.495834
-93803.290344,38,296.958615
-128797.892706,37,298.416325
-868848.283392,29,299.829892
-319767.571568,28,301.233456
