#{"t_start": 1746322647.6613417, "env_id": "None"}
r,l,t
-60517.2,28,2.152392
-19134.2,35,3.862287
-12879.6,32,6.148067
-26338.2,37,8.281302
-22399.8,27,10.17739
-18356.6,29,12.218945
-15197.4,32,14.318651
-21721.0,33,16.491605
-25253.6,27,18.287901
-18629.2,29,20.183403
-20479.0,35,22.040457
-29788.6,31,23.591591
-15012.4,37,25.943765
-31313.0,30,28.00069
-45018.6,37,30.294492
-30114.6,35,32.777284
-31017.8,34,34.952166
-33754.4,26,36.669779
-17011.4,31,38.679779
-31700.6,35,41.176792
-21736.0,30,43.253304
-16457.2,26,45.469922
-54373.0,38,47.233171
-10644.8,32,48.832146
-15900.6,33,51.297347
-12381.8,31,53.359253
-30439.8,25,54.902993
-17957.4,33,56.857771
-19407.2,32,58.805421
-20244.6,27,60.836381
-10792.6,28,62.324242
-6430.6,28,64.130472
-13667.6,30,65.935138
-35653.2,31,67.415916
-25009.6,29,69.260458
-18693.0,28,71.194583
-15451.6,30,73.081124
-28877.0,48,74.907559
-12947.8,30,76.418865
-43903.4,37,78.073844
-25742.4,32,79.885562
-18679.4,28,81.457703
-17044.0,28,83.566948
-71840.8,35,85.666393
-25842.0,25,87.311091
-20512.6,38,89.0726
-18163.4,28,90.702275
-18568.6,32,92.719161
-19036.8,38,94.659211
-20409.0,32,96.583488
-18024.0,28,98.507648
-29837.8,34,100.316284
-41991.4,29,102.139163
-43531.2,38,104.480447
-11902.0,25,106.362911
-15071.2,32,108.488925
-20516.4,31,109.960177
-23302.6,35,111.630961
-17059.2,32,113.547274
-18610.4,36,115.904167
-24317.0,29,118.070319
-28557.4,33,120.154259
-20845.8,32,122.282463
-14957.0,34,123.985983
-17669.4,30,126.076953
-17418.2,28,128.203588
-9560.2,35,129.621825
-18680.8,39,131.292479
-23004.8,35,133.388458
-43514.8,32,135.397089
-10958.6,30,136.930274
-20358.0,31,139.069687
-23322.2,31,141.209864
-38723.4,33,143.204352
-15951.8,32,145.222965
-23511.6,33,146.654554
-20505.6,35,148.662306
-16692.8,33,150.65334
-11411.6,32,152.702247
-21083.2,34,154.856943
-23534.4,39,156.596961
-16479.6,26,158.45227
-7371.2,33,160.403588
-9347.4,33,161.821518
-33403.8,31,163.674778
-24373.0,24,166.100969
-15974.8,31,168.225831
-20104.6,33,169.649847
-20590.2,34,171.492963
-18133.8,33,173.351964
-9430.4,28,174.744284
-13215.0,40,176.730737
-19663.0,30,178.937592
-14530.0,28,180.943527
-20034.4,21,182.752536
-18681.8,35,184.434867
-61779.0,35,186.573133
-15195.8,37,189.283427
-22069.6,27,190.918544
-20583.6,27,192.916553
-34391.6,30,194.523113
-21694.4,30,196.691931
-20823.2,32,198.762877
-23740.4,34,200.681207
-12780.6,28,203.095179
-16898.0,45,204.670628
-23516.4,39,206.616532
-21364.6,41,208.865577
-20329.8,30,210.387394
-13648.0,36,212.878075
-8193.2,29,214.544243
-15506.4,32,216.079347
-18635.2,31,218.026865
-18387.2,31,219.692462
-25147.2,32,221.783955
-8573.2,26,223.842808
-20866.0,38,226.420782
-13531.8,34,227.976302
-30250.4,35,229.945287
-39286.8,35,231.557982
-15103.6,29,233.404593
-38131.4,39,235.024673
-24089.2,38,236.703219
-20934.8,28,238.522337
-55639.8,34,240.278971
-17284.8,33,242.347906
-11399.6,33,244.480118
-21769.6,32,246.346009
-43018.6,33,248.283763
-14021.0,37,250.035292
-13776.8,32,251.722537
-35485.8,35,253.710645
-29887.0,29,255.233184
-14563.2,31,257.404617
-18088.4,34,259.428731
-31001.4,31,261.236613
-22714.6,29,263.570358
-22662.8,28,265.344695
-13883.6,29,267.561414
-48471.2,36,269.676921
-17566.0,33,271.423259
-24189.4,33,273.79722
-15538.4,33,275.402768
-19314.6,27,277.704039
-21567.4,39,279.648649
-33765.0,35,281.490953
-25528.8,27,283.415898
-35219.6,32,285.497365
-17539.6,28,287.272838
-92295.4,40,289.501758
-16194.4,34,290.938566
-42794.6,34,293.152202
-17252.8,31,294.682767
-15943.2,25,296.115608
-31567.8,36,297.849202
-27197.2,27,299.863091
-10648.8,36,301.671564
-19179.6,33,303.536309
-27890.2,32,305.572108
-20225.8,34,307.889798
-11098.4,30,310.092053
-23682.4,34,311.77421
-14725.2,30,313.27099
-20992.8,29,314.923027
-24919.8,29,316.353612
-15327.2,31,317.938499
-18752.2,35,319.850885
-17026.4,28,321.733449
-23653.8,34,323.663839
-18255.8,31,325.625201
-23934.4,29,327.551253
-17546.6,26,329.549866
-21133.6,37,331.480458
-18334.6,38,333.27704
-36803.0,33,335.174039
-14699.8,30,337.307935
-20872.4,31,339.223929
-22966.8,33,341.161244
-32383.0,29,343.376756
-19240.2,39,345.399963
-26565.6,33,347.308609
-10348.8,31,349.388127
-23697.0,36,351.515533
-64342.4,42,353.708348
-14168.0,29,355.083559
-14344.6,29,357.003304
-14509.0,35,358.9497
-17499.8,29,360.791001
-21312.2,35,362.980038
-30884.0,30,365.223162
-17065.0,31,367.425756
-24639.6,31,369.331028
-11770.6,29,371.154018
-19688.6,39,373.030583
-22649.0,33,374.644661
-15963.4,30,376.098595
-13798.0,36,377.753012
-9089.8,30,379.513716
-12493.8,30,381.418107
-19896.0,38,383.57706
-10789.0,32,385.461232
-14359.8,37,387.327322
-17963.8,37,389.108432
-36905.2,34,391.01604
-26019.0,35,392.938351
-62237.6,38,395.285437
-25805.2,27,397.133224
-14973.6,29,399.12111
-30440.0,33,400.704156
-20678.2,35,402.313098
-17196.6,38,404.293948
-25663.6,35,405.774797
-26598.2,41,407.907661
-8438.0,26,409.909961
-33416.2,47,412.18077
-12087.6,33,414.561867
-21875.2,35,416.223827
-37070.8,32,418.469043
-20441.4,32,420.597535
-16342.6,32,422.491665
-19787.4,37,424.540526
-23839.0,28,426.057724
-32507.4,25,428.127183
-22969.2,28,430.063908
-11165.8,25,431.758173
-42272.2,29,433.745858
-21296.0,31,435.466014
-22841.6,35,437.443708
-11380.6,31,439.209663
-96950.0,39,440.773345
-16619.8,39,442.336989
-13058.8,31,444.757895
-14821.0,35,446.597095
-19750.8,25,449.060352
-21683.4,31,451.042412
-31177.2,33,452.54323
-12570.6,32,454.740259
-18135.6,29,456.615622
-110019.6,35,458.335149
-22363.0,33,460.74169
-14608.2,33,462.507513
-16198.4,34,464.425526
-13907.6,28,466.148739
-56406.6,33,467.722326
-16313.4,28,470.114042
-22326.4,28,472.054006
-18542.2,28,474.109131
-33317.4,42,475.799726
-26194.6,34,477.748717
-33471.0,30,480.147099
-17840.8,30,482.093004
-18639.2,39,484.634017
-43643.2,39,486.247781
-19835.0,37,487.919304
-60650.2,43,490.381994
-21382.2,33,492.245997
-22555.4,39,494.117404
-24035.6,35,496.026195
-27706.8,27,497.841063
-16664.4,29,499.344782
-22234.2,37,501.327017
-11746.4,30,503.12294
-13229.4,30,504.615434
-13402.0,25,506.504998
-10080.0,29,508.75984
-22189.8,33,510.712163
-13360.0,30,512.78902
-12148.2,29,514.264705
-9211.2,29,516.150007
-30224.6,39,517.769282
-14752.0,32,519.278902
-27546.6,33,520.96131
-15674.6,35,523.356589
-26206.0,42,525.427912
-39301.2,37,527.40112
-21967.8,30,529.256767
-33813.2,38,531.541852
-24954.4,27,533.767074
-19028.0,34,535.617542
-12337.0,29,537.362444
-12586.6,29,539.154795
-12421.6,34,540.909086
-26966.6,30,542.796825
-13801.6,29,544.456615
-17182.4,32,546.390893
-21843.2,30,548.45373
-22774.0,30,550.492032
-12424.0,32,552.422463
-12762.6,27,554.450234
-22658.6,37,556.329717
-20968.8,26,558.234132
-32805.0,28,559.818655
-19684.4,34,561.699059
-53908.2,29,563.495979
-17418.4,29,565.386212
-13311.6,26,567.280951
-16902.0,26,569.175941
-22519.6,33,571.43821
-25468.4,30,573.685431
-27319.6,36,576.144569
-13974.6,35,578.287905
-16832.4,31,580.588586
-11886.2,32,582.02036
-29163.2,36,584.082743
-18433.4,34,586.315398
-14934.2,34,588.61245
-12898.8,33,590.632448
-16404.0,36,592.157815
-14963.6,34,594.147281
-14989.2,24,595.854314
-40762.6,26,597.311048
-25568.0,29,599.691263
-23365.8,31,601.681203
-16935.2,40,603.716004
-20606.2,38,605.860537
-58994.6,34,607.398668
-16821.0,43,609.282139
-33035.4,29,611.317694
-17236.4,35,613.505786
-38888.0,32,615.477502
-24903.0,28,617.403818
-33533.4,36,619.369951
-11349.6,28,621.167701
-16695.8,33,622.671232
-12870.2,24,624.929156
-20815.8,27,626.836434
-22783.0,29,628.752006
-24393.8,27,630.5268
-19290.0,28,632.809215
-22608.2,31,634.790179
-22988.2,30,636.915317
-20094.0,30,638.340054
-22017.2,41,640.424282
-15925.4,32,642.518958
-17944.8,34,644.375403
-18487.4,26,646.41844
-26582.2,37,648.145461
-20298.2,33,650.119096
-11108.6,29,651.88711
-22955.4,33,653.4636
-13615.2,38,655.571488
-8985.4,33,657.236246
-48715.0,39,658.697945
-24564.8,31,660.716212
-15269.4,31,662.766741
-21659.0,32,664.380223
-14002.2,31,666.394029
-14492.4,28,668.576208
-11474.8,29,670.124494
-15161.8,29,672.36504
-15774.4,40,674.077783
-17538.0,31,676.273402
-20565.0,29,678.577327
-17702.4,33,680.612874
-14320.2,33,682.596654
-31291.8,27,684.124961
-31838.0,35,686.216135
-19649.8,32,687.909977
-22011.8,29,689.312448
-65881.0,48,691.538061
-13177.0,34,693.115444
-27858.6,28,695.337634
-14572.8,34,697.587897
-23395.6,28,699.280374
-12553.8,34,701.500741
-32895.6,34,703.731716
-21887.6,34,705.938981
-19246.0,26,707.803395
-16036.2,30,709.480973
-38332.4,34,710.904068
-23108.8,36,712.832206
-12326.4,34,714.663046
-18315.6,26,716.722851
-25707.0,36,718.703069
-19619.6,31,720.472749
-44315.6,37,722.91648
-16243.8,29,724.677805
-15023.8,38,726.596315
-8963.4,32,728.638088
-16320.0,31,730.63818
-18645.0,32,732.407722
-23353.4,28,734.323043
-16129.4,30,736.280888
-21116.2,32,738.685268
-83808.0,40,740.677518
-14462.8,29,742.214466
-9390.8,27,743.93047
-72583.8,32,745.757032
-20574.6,35,747.693237
-18287.4,34,750.039479
-42084.4,39,751.583546
-14100.2,34,753.631305
-18146.2,26,755.332771
-12139.0,27,756.744557
-17707.4,30,758.709846
-17487.8,29,760.369601
-47379.0,34,762.493685
-32766.2,33,764.408428
-12852.0,33,766.377342
-18934.0,27,768.220997
-26905.6,32,769.941128
-47301.4,44,771.972747
-100397.6,33,774.527322
-14051.2,32,776.363226
-19790.4,23,778.119557
-15815.2,32,780.180765
-15975.6,30,782.070237
-40308.2,40,783.965536
-19830.6,33,785.789853
-24867.8,33,787.603126
-13070.2,33,789.248857
-18423.2,28,791.085895
-11008.6,30,792.731155
-15837.4,32,794.920749
-24261.6,29,796.799168
-20845.6,32,799.14928
-26246.8,33,800.612774
-24827.4,34,802.275644
-16605.4,32,804.378606
-46637.2,39,806.46043
-31693.8,34,808.554556
-37241.2,36,810.422239
-8165.2,28,812.11168
-16211.0,27,814.025116
-11974.6,32,815.618713
-9248.0,33,817.838127
-8860.4,29,819.999749
-12194.6,27,821.638974
-28425.8,28,823.720136
-7783.6,32,825.483443
-24065.8,30,827.29554
-75400.6,26,829.188484
-12869.2,32,830.790024
-14053.2,27,832.859809
-8447.8,28,834.703451
-12442.0,29,836.356116
-8273.0,33,837.846014
-14145.6,35,840.228007
-24577.4,28,842.064514
-12824.6,33,844.494226
-5919.2,27,845.921455
-36268.4,34,847.868538
-23136.2,40,849.441279
-36495.4,32,851.513867
-17646.2,27,853.55825
-25158.6,29,855.867842
-15879.8,26,857.276649
-12405.8,33,859.443445
-16581.4,30,861.301155
-34650.8,31,863.05784
-52713.0,29,864.981418
-11675.0,32,866.861713
-47203.8,42,868.960106
-20301.8,33,871.051393
-23093.8,30,872.471863
-18293.4,31,874.916368
-15695.2,34,876.615186
-13860.0,23,878.363339
-19720.0,32,880.430003
-18473.2,33,882.297278
-13085.8,30,884.614904
-14210.0,28,886.550783
-12711.6,39,888.285924
-24451.2,33,890.576854
-31767.6,39,892.463756
-28910.2,32,893.89419
-12752.2,35,895.676722
-39960.2,28,897.142242
-40650.8,30,899.095727
-13479.0,27,900.967106
-17640.0,27,902.599115
-37292.6,40,904.318866
-26811.8,31,905.876895
-15838.4,32,907.894729
-25022.2,32,909.980556
-14832.8,26,911.565747
-18431.8,30,913.660146
-49699.4,31,915.719571
-17738.6,27,917.408306
-15171.2,31,919.37672
-42552.2,33,921.074753
-15457.2,35,922.525291
-16973.0,39,924.148148
-12885.6,30,926.092846
-19533.4,30,928.11511
-19135.8,27,930.132245
-84974.4,34,932.169197
-32837.6,38,934.524858
-19688.2,34,936.276116
-29910.4,37,938.012126
-14695.0,33,940.018141
-6501.8,32,941.468599
-27232.6,33,943.398626
-17777.4,31,945.178131
-22935.4,34,946.636531
-17831.8,30,948.630939
-16261.4,33,950.606511
-24680.4,33,952.51061
-35445.0,36,954.011717
-25513.8,33,955.855616
-12628.0,23,957.821988
-20914.2,29,959.381931
-24058.6,31,961.372159
-13135.0,30,963.499249
-21394.0,27,965.396645
-26007.0,27,967.420344
-47980.4,30,969.537885
-11806.4,25,971.542076
-18341.6,26,973.764395
-42724.0,31,975.231342
-31507.8,38,977.422042
-12172.2,30,979.820397
-17989.0,33,981.428285
-9662.6,30,983.021361
-27261.8,40,985.25894
-15776.4,27,987.020491
-13834.2,38,989.139252
-23554.0,23,990.641631
-10584.8,31,992.929024
-14959.0,37,995.079663
-58782.0,39,996.740032
-13143.2,29,998.814154
-41121.6,38,1000.628036
-20094.0,36,1002.691658
-31661.6,31,1004.69247
-23690.8,26,1006.33623
-25663.2,31,1008.594169
-9173.2,29,1010.447459
-17315.4,39,1012.490841
-24271.4,37,1014.270489
-13021.6,31,1015.965755
-132503.2,35,1018.083461
-19307.6,33,1020.146162
-25397.2,25,1021.990716
-15883.6,33,1024.070679
-18639.2,34,1026.031891
-45933.8,33,1028.359632
-24708.6,32,1029.801878
-14175.6,38,1031.293192
-13738.2,36,1033.765244
-13744.4,28,1035.745224
-24361.0,28,1037.998728
-50745.4,37,1040.088707
-17277.6,31,1041.481305
-45168.0,44,1043.534156
-18815.2,29,1045.345788
-24017.2,33,1047.467796
-22152.4,27,1049.470108
-18008.2,37,1051.210332
-26082.8,29,1053.250154
-20005.2,29,1055.233675
-15062.8,31,1056.641575
-21845.8,31,1058.539963
-12036.8,26,1060.436749
-14636.6,30,1062.5068
-37498.4,31,1064.587197
-36957.6,30,1066.659241
