#{"t_start": 1746344822.51828, "env_id": "None"}
r,l,t
-77778.247902,42,2.107546
-9034.371667,28,4.181601
-15875.238622,30,6.221847
-50573.228238,33,7.699032
-17191.065145,29,9.779656
-26566.138574,34,11.281846
-25512.187149,36,12.761834
-24565.681449,35,14.73329
-34932.250264,28,16.884629
-43131.581319,38,18.995106
-16603.457363,33,20.95748
-18138.34775,38,22.815765
-27029.4929,32,24.873044
-36791.234841,37,27.006129
-13928.862179,32,28.82166
-21085.973129,33,30.570585
-17816.229006,30,32.823731
-29303.887733,33,34.72521
-15837.740725,38,37.670006
-18373.285446,26,39.742829
-14795.056446,30,41.740925
-17993.026434,28,43.343675
-35253.569833,38,45.906414
-18220.200358,33,48.017509
-31114.771537,35,49.750203
-20899.792163,31,51.974708
-29120.869308,32,53.479173
-20028.226364,28,55.506756
-31439.088162,31,57.564708
-21277.288847,31,59.47805
-44265.897928,32,61.717287
-24834.424866,36,63.383956
-13762.471894,27,65.235416
-11844.201645,28,67.315688
-15948.485986,36,68.804743
-21139.341083,32,70.754293
-14032.945825,31,72.737527
-24840.126239,41,74.394553
-21244.090365,33,75.985662
-18969.215141,39,77.995679
-15005.677661,33,80.063665
-11087.900352,28,81.920093
-21254.789055,31,83.543349
-20500.991074,31,85.571121
-13384.868071,29,87.528477
-24968.59851,31,89.769327
-22764.666783,28,91.339156
-18038.246332,35,93.139518
-23950.192779,31,95.471516
-27172.155457,41,97.988971
-31273.893301,38,100.439681
-28797.771738,26,102.396071
-27277.952011,27,104.18661
-17037.658828,28,106.105788
-41516.424165,38,108.464432
-21270.007175,30,111.07754
-22638.659506,35,113.399407
-31217.366053,30,115.50622
-26543.957685,31,117.668306
-22307.383134,34,120.01671
-15169.139034,26,121.539374
-17691.223141,31,123.514047
-21996.123798,33,125.422615
-13671.473265,38,126.874576
-26324.936267,39,128.68723
-19423.509497,37,130.329857
-12666.650064,31,132.510365
-15506.04047,30,134.53878
-25970.628467,29,136.269819
-23786.534808,28,137.910486
-16487.263549,34,140.525853
-65739.759099,36,142.35967
-23744.84397,36,144.550796
-31506.133322,29,146.316786
-12563.154644,28,147.952323
-15448.611934,33,150.049488
-35438.561626,30,151.983088
-8141.872488,25,153.448639
-23510.926718,35,155.695982
-21120.315684,24,157.717314
-17781.472065,26,159.258677
-8610.065433,30,161.141801
-47035.015097,33,163.144703
-31229.625253,38,165.114659
-26870.370084,27,167.147431
-70185.222108,41,168.617889
-19396.974518,33,170.696619
-21449.636121,29,173.157026
-28959.125585,29,174.976995
-25380.320006,37,177.088197
-16852.552728,38,178.557729
-55319.75982,28,180.645394
-53264.556869,28,182.705827
-12616.300379,34,184.970638
-24335.599039,33,187.117518
-35441.574431,46,188.662624
-19926.531087,25,190.969797
-27936.644482,35,193.044621
-19243.301977,23,195.266819
-41780.043157,35,197.623857
-25890.958409,33,199.678653
-16370.691378,39,201.713592
-21990.540969,34,203.512479
-8829.216043,32,205.217731
-27862.213407,37,207.630574
-13422.834552,33,209.190255
-17934.881669,32,210.929872
-18286.757568,32,212.866398
-11182.887998,29,214.923803
-63922.149272,39,217.020396
-25589.254078,29,218.504039
-14020.183392,31,220.310635
-21430.779749,32,222.056108
-23522.569739,31,224.011853
-16433.644048,29,225.561605
-25003.867798,39,228.025511
-29766.583696,33,229.97257
-26394.938071,34,231.816382
-24425.456926,30,233.590596
-45827.654961,25,235.517283
-19693.854466,29,237.645179
-15392.918728,29,239.477127
-13843.937208,35,240.89467
-22686.33015,34,243.293946
-28794.174969,37,245.535785
-15734.096042,33,247.014866
-38523.011111,33,248.719848
-15811.130829,34,250.711105
-22834.71165,26,252.634213
-17380.558355,33,254.680868
-42787.149993,31,256.322031
-33095.951044,32,258.181577
-20708.473843,32,260.320924
-34382.477029,40,262.472884
-12442.521816,34,264.966961
-10057.277705,30,266.775195
-16902.671417,27,268.650507
-16915.424488,35,270.848122
-15096.403967,32,273.058838
-14490.221615,31,275.147122
-22879.147791,31,277.072843
-20071.970843,30,279.139359
-23930.040181,32,281.012786
-29463.723633,29,282.46149
-12628.831555,26,284.273001
-12690.320084,27,286.162583
-33355.89485,30,288.194753
-57829.622931,34,290.516404
-15125.508236,27,292.609834
-14291.634517,35,294.304378
-10608.828559,30,296.212122
-25062.466875,29,298.214824
-23945.885876,29,300.246281
-22388.153358,35,301.808711
-25510.944317,34,304.154056
-34635.097806,32,306.115924
-21746.762048,32,308.27191
-20987.182794,34,310.159272
-9386.189315,31,311.768821
-22571.964586,39,313.574301
-16211.453283,29,315.599438
-30969.786167,34,317.534661
-25323.287772,31,319.438343
-14776.988725,31,321.248971
-36155.185381,29,323.37248
-33892.170994,39,325.396137
-16223.454219,29,326.934079
-24111.660217,32,328.458834
-19057.042499,27,330.271647
-8766.704841,30,331.651996
-13726.474735,27,333.054196
-28844.300892,28,334.459214
-20860.139349,24,336.191218
-11418.316098,31,337.80252
-22755.04723,28,339.847011
-33659.774071,38,341.472815
-15233.718191,40,342.986511
-13724.568009,31,345.087555
-21080.656252,31,347.06809
-14205.044997,25,349.000655
-22150.111964,33,351.255509
-21570.547195,45,352.900903
-44644.822739,29,354.955855
-13315.605244,36,356.851294
-25302.834992,38,359.016005
-23671.25,36,361.405903
-20902.442386,32,363.474806
-18652.326151,38,365.368376
-7535.162824,32,367.405223
-16265.979579,34,369.835354
-15505.090081,28,371.401471
-33032.973179,34,373.555629
-61936.440113,27,375.162155
-19921.275019,28,376.7873
-30248.908468,30,378.387418
-23116.023026,34,380.158947
-16863.266012,35,382.517854
-15592.075552,32,384.787608
-43881.274524,30,387.035001
-11420.0,28,389.15205
-28611.438908,36,391.453675
-33296.020716,39,393.370733
-23522.267375,37,395.101761
-10834.417102,24,397.133415
-20102.846535,30,399.350544
-21483.463613,31,401.27873
-23548.393842,30,402.763355
-12977.597318,36,404.859501
-20467.127798,25,406.439841
-25849.58065,29,408.521569
-20946.991396,34,410.369031
-16264.281759,36,412.253063
-13034.226852,30,414.365234
-8287.06937,28,415.75917
-35818.201055,33,417.840876
-17829.88778,35,419.841831
-29109.607965,36,421.933166
-18894.713271,35,423.701145
-10389.002839,27,425.377918
-33134.52535,32,427.062307
-10362.42773,24,429.20466
-23339.156141,29,430.742847
-21032.674075,30,432.67192
-20958.387635,34,434.562516
-20545.799083,39,436.086486
-28232.207438,29,437.953173
-8943.003931,30,440.053707
-29781.611327,29,441.963644
-15016.792651,33,443.661687
-8283.433645,32,445.785629
-40222.464142,35,448.068381
-15149.838834,30,450.85388
-22162.72629,31,452.56188
-18934.288015,28,454.502273
-29876.104661,32,456.666413
-25796.08561,33,458.354779
-40917.353566,27,460.300097
-13625.898212,30,462.087497
-34766.737176,32,464.179203
-16938.234582,28,466.826637
-28783.446068,40,468.771544
-16515.293118,35,470.520929
-22215.971816,31,472.18231
-22386.504375,37,474.43788
-45893.254297,31,476.296753
-19176.405588,25,478.247735
-42257.22411,33,480.228506
-26747.914184,33,482.155157
-13522.911508,29,483.702648
-29306.537027,32,485.844771
-46883.224313,37,488.068531
-16868.868405,30,490.057429
-17408.645934,36,492.085995
-10973.154893,31,493.731524
-19612.546467,33,495.773595
-13849.535614,30,497.693811
-11905.944884,31,499.102676
-13087.125419,29,500.893739
-25535.330693,42,503.039844
-26344.151916,30,504.791499
-19958.612933,32,506.960906
-17639.0252,30,508.868998
-28939.717083,25,510.714124
-11501.720394,29,512.665609
-39921.117691,32,514.149879
-9026.236323,33,516.321622
-14062.937934,30,518.285369
-14438.987558,38,520.10918
-24338.585863,31,522.236499
-12353.492179,24,524.051362
-19771.350082,29,525.955412
-11610.40793,28,527.977442
-25682.580679,32,529.403579
-14501.065828,29,531.438519
-12885.570812,39,533.150658
-40188.055802,32,534.602757
-15733.727748,23,536.530816
-11371.103803,36,538.585014
-21838.402913,34,540.517441
-11280.196667,24,542.509818
-14867.885915,32,544.496031
-19522.230811,31,546.59775
-20939.997714,33,548.660224
-22194.004328,39,551.022468
-21851.522175,34,552.49091
-30890.629077,34,554.674212
-12228.662177,31,556.461357
-17638.305869,34,558.277565
-29113.85,30,559.834651
-13328.623124,35,562.204036
-33120.741549,30,564.361537
-11701.390875,28,566.127789
-9091.625553,24,567.903158
-33070.146051,36,569.959529
-35160.452748,36,571.942931
-20422.973027,26,573.628397
-18786.518601,32,575.781272
-10110.564279,36,578.002074
-33784.227126,32,579.88232
-19900.789558,30,581.393912
-18173.295232,23,583.279302
-27142.896267,30,585.308937
-20535.29644,31,587.371986
-33441.974174,30,589.220888
-25066.309707,37,591.217335
-17837.899309,28,593.218055
-30354.731034,32,595.056035
-23751.937738,36,596.558824
-16507.773631,37,598.369297
-14382.95383,32,600.461037
-17915.447608,29,602.334309
-60417.650412,29,604.357454
-22941.727282,32,606.584114
-36406.684777,33,608.662081
-19904.136157,27,611.124157
-15629.319428,29,613.061546
-14141.641366,31,615.025208
-11654.093767,39,616.798836
-36117.464743,30,618.48562
-18592.55,37,620.535648
-14085.78198,31,622.071583
-30662.734019,33,623.650142
-19206.646628,31,626.119933
-14740.78239,28,628.005272
-33016.375679,25,629.657839
-37532.521533,32,631.54075
-33075.603572,37,633.141582
-26832.404172,32,635.0368
-46260.065362,38,637.080915
-24956.795168,38,639.224993
-44978.595278,34,641.182116
-35568.548166,36,643.101539
-15375.737055,37,645.392521
-25638.319397,24,647.221913
-22573.388843,32,649.337538
-21390.618317,27,651.239235
-9295.845325,30,653.00054
-17924.424614,29,654.908243
-17232.622916,34,657.28651
-15069.509423,25,658.956428
-35870.273572,34,661.508332
-35604.598881,26,663.302746
-15126.115989,36,665.269277
-37311.077008,34,667.4239
-22771.590362,31,669.27958
-22206.495197,33,670.725423
-28670.009077,33,673.171609
-16468.132946,30,675.286514
-24572.751492,34,676.949104
-17363.315373,48,678.504261
-10823.215286,28,680.26364
-11685.489248,34,682.30128
-66412.664747,39,683.758699
-22932.960872,28,685.858193
-58950.87292,31,687.861547
-47241.06185,42,690.110001
-22425.811997,29,692.739822
-43883.44859,36,694.658698
-52271.898353,30,696.552905
-15614.897887,32,698.52611
-24554.994514,30,700.430926
-17533.706317,36,702.594224
-53093.158782,35,704.407318
-16384.970059,39,706.975246
-10972.27588,31,708.457736
-9557.243467,28,710.60253
-9839.738982,32,712.719729
-19130.827982,29,714.548309
-19194.800977,32,716.712293
-69077.461475,27,718.221705
-26532.449997,36,720.053969
-13908.277536,26,721.874506
-31673.810519,38,723.835651
-19658.505024,29,725.351204
-28303.161151,38,727.533364
-17566.87663,29,729.633715
-14540.880267,34,731.130438
-22482.443127,33,732.974343
-20827.42281,28,735.113791
-23702.09714,27,737.139259
-13362.309307,31,738.853687
-52665.213787,35,740.618771
-10707.741664,26,742.905224
-13968.596895,32,745.104559
-16160.978031,32,747.264035
-14193.934197,35,749.033597
-13277.516304,30,750.693793
-15897.135681,33,752.79511
-28659.308011,32,754.960178
-21047.385659,35,757.043342
-30975.931543,32,759.232541
-17073.920328,26,760.818336
-75782.564878,32,762.912672
-21976.375686,35,765.256506
-19632.879075,27,766.681554
-10719.356696,34,768.74476
-25083.766073,32,770.735662
-29569.634971,36,772.576049
-21390.290894,33,774.780204
-20362.313643,31,776.296273
-11299.567861,35,777.920669
-17438.892923,35,779.704755
-18257.486665,29,781.767279
-20648.008561,29,783.633489
-35353.15825,33,785.410183
-17028.416347,25,787.33899
-8881.521507,29,789.103907
-20398.276009,25,790.724514
-18011.409894,32,792.851289
-10980.793622,29,794.854671
-27868.330863,30,796.561158
-11237.308651,26,798.312699
-34667.104647,37,800.597601
-30965.772232,28,802.510154
-30188.767515,31,804.109292
-13675.16136,30,806.070132
-12718.382484,28,808.029883
-19710.657626,33,810.357344
-18956.290993,25,812.066357
