episode,reward
0,-77778.247902
1,-9034.371667
2,-15875.238622
3,-50573.228238
4,-17191.065145
5,-26566.138574
6,-25512.187149
7,-24565.681449
8,-34932.250264
9,-43131.581319
10,-16603.457363
11,-18138.34775
12,-27029.4929
13,-36791.234841
14,-13928.862179
15,-21085.973129
16,-17816.229006
17,-29303.887733
18,-15837.740725
19,-18373.285446
20,-14795.056446
21,-17993.026434
22,-35253.569833
23,-18220.200358
24,-31114.771537
25,-20899.792163
26,-29120.869308
27,-20028.226364
28,-31439.088162
29,-21277.288847
30,-44265.897928
31,-24834.424866
32,-13762.471894
33,-11844.201645
34,-15948.485986
35,-21139.341083
36,-14032.945825
37,-24840.126239
38,-21244.090365
39,-18969.215141
40,-15005.677661
41,-11087.900352
42,-21254.789055
43,-20500.991074
44,-13384.868071
45,-24968.59851
46,-22764.666783
47,-18038.246332
48,-23950.192779
49,-27172.155457
50,-31273.893301
51,-28797.771738
52,-27277.952011
53,-17037.658828
54,-41516.424165
55,-21270.007175
56,-22638.659506
57,-31217.366053
58,-26543.957685
59,-22307.383134
60,-15169.139034
61,-17691.223141
62,-21996.123798
63,-13671.473265
64,-26324.936267
65,-19423.509497
66,-12666.650064
67,-15506.04047
68,-25970.628467
69,-23786.534808
70,-16487.263549
71,-65739.759099
72,-23744.84397
73,-31506.133322
74,-12563.154644
75,-15448.611934
76,-35438.561626
77,-8141.872488
78,-23510.926718
79,-21120.315684
80,-17781.472065
81,-8610.065433
82,-47035.015097
83,-31229.625253
84,-26870.370084
85,-70185.222108
86,-19396.974518
87,-21449.636121
88,-28959.125585
89,-25380.320006
90,-16852.552728
91,-55319.75982
92,-53264.556869
93,-12616.300379
94,-24335.599039
95,-35441.574431
96,-19926.531087
97,-27936.644482
98,-19243.301977
99,-41780.043157
100,-25890.958409
101,-16370.691378
102,-21990.540969
103,-8829.216043
104,-27862.213407
105,-13422.834552
106,-17934.881669
107,-18286.757568
108,-11182.887998
109,-63922.149272
110,-25589.254078
111,-14020.183392
112,-21430.779749
113,-23522.569739
114,-16433.644048
115,-25003.867798
116,-29766.583696
117,-26394.938071
118,-24425.456926
119,-45827.654961
120,-19693.854466
121,-15392.918728
122,-13843.937208
123,-22686.33015
124,-28794.174969
125,-15734.096042
126,-38523.011111
127,-15811.130829
128,-22834.71165
129,-17380.558355
130,-42787.149993
131,-33095.951044
132,-20708.473843
133,-34382.477029
134,-12442.521816
135,-10057.277705
136,-16902.671417
137,-16915.424488
138,-15096.403967
139,-14490.221615
140,-22879.147791
141,-20071.970843
142,-23930.040181
143,-29463.723633
144,-12628.831555
145,-12690.320084
146,-33355.89485
147,-57829.622931
148,-15125.508236
149,-14291.634517
150,-10608.828559
151,-25062.466875
152,-23945.885876
153,-22388.153358
154,-25510.944317
155,-34635.097806
156,-21746.762048
157,-20987.182794
158,-9386.189315
159,-22571.964586
160,-16211.453283
161,-30969.786167
162,-25323.287772
163,-14776.988725
164,-36155.185381
165,-33892.170994
166,-16223.454219
167,-24111.660217
168,-19057.042499
169,-8766.704841
170,-13726.474735
171,-28844.300892
172,-20860.139349
173,-11418.316098
174,-22755.04723
175,-33659.774071
176,-15233.718191
177,-13724.568009
178,-21080.656252
179,-14205.044997
180,-22150.111964
181,-21570.547195
182,-44644.822739
183,-13315.605244
184,-25302.834992
185,-23671.25
186,-20902.442386
187,-18652.326151
188,-7535.162824
189,-16265.979579
190,-15505.090081
191,-33032.973179
192,-61936.440113
193,-19921.275019
194,-30248.908468
195,-23116.023026
196,-16863.266012
197,-15592.075552
198,-43881.274524
199,-11420.0
200,-28611.438908
201,-33296.020716
202,-23522.267375
203,-10834.417102
204,-20102.846535
205,-21483.463613
206,-23548.393842
207,-12977.597318
208,-20467.127798
209,-25849.58065
210,-20946.991396
211,-16264.281759
212,-13034.226852
213,-8287.06937
214,-35818.201055
215,-17829.88778
216,-29109.607965
217,-18894.713271
218,-10389.002839
219,-33134.52535
220,-10362.42773
221,-23339.156141
222,-21032.674075
223,-20958.387635
224,-20545.799083
225,-28232.207438
226,-8943.003931
227,-29781.611327
228,-15016.792651
229,-8283.433645
230,-40222.464142
231,-15149.838834
232,-22162.72629
233,-18934.288015
234,-29876.104661
235,-25796.08561
236,-40917.353566
237,-13625.898212
238,-34766.737176
239,-16938.234582
240,-28783.446068
241,-16515.293118
242,-22215.971816
243,-22386.504375
244,-45893.254297
245,-19176.405588
246,-42257.22411
247,-26747.914184
248,-13522.911508
249,-29306.537027
250,-46883.224313
251,-16868.868405
252,-17408.645934
253,-10973.154893
254,-19612.546467
255,-13849.535614
256,-11905.944884
257,-13087.125419
258,-25535.330693
259,-26344.151916
260,-19958.612933
261,-17639.0252
262,-28939.717083
263,-11501.720394
264,-39921.117691
265,-9026.236323
266,-14062.937934
267,-14438.987558
268,-24338.585863
269,-12353.492179
270,-19771.350082
271,-11610.40793
272,-25682.580679
273,-14501.065828
274,-12885.570812
275,-40188.055802
276,-15733.727748
277,-11371.103803
278,-21838.402913
279,-11280.196667
280,-14867.885915
281,-19522.230811
282,-20939.997714
283,-22194.004328
284,-21851.522175
285,-30890.629077
286,-12228.662177
287,-17638.305869
288,-29113.85
289,-13328.623124
290,-33120.741549
291,-11701.390875
292,-9091.625553
293,-33070.146051
294,-35160.452748
295,-20422.973027
296,-18786.518601
297,-10110.564279
298,-33784.227126
299,-19900.789558
300,-18173.295232
301,-27142.896267
302,-20535.29644
303,-33441.974174
304,-25066.309707
305,-17837.899309
306,-30354.731034
307,-23751.937738
308,-16507.773631
309,-14382.95383
310,-17915.447608
311,-60417.650412
312,-22941.727282
313,-36406.684777
314,-19904.136157
315,-15629.319428
316,-14141.641366
317,-11654.093767
318,-36117.464743
319,-18592.55
320,-14085.78198
321,-30662.734019
322,-19206.646628
323,-14740.78239
324,-33016.375679
325,-37532.521533
326,-33075.603572
327,-26832.404172
328,-46260.065362
329,-24956.795168
330,-44978.595278
331,-35568.548166
332,-15375.737055
333,-25638.319397
334,-22573.388843
335,-21390.618317
336,-9295.845325
337,-17924.424614
338,-17232.622916
339,-15069.509423
340,-35870.273572
341,-35604.598881
342,-15126.115989
343,-37311.077008
344,-22771.590362
345,-22206.495197
346,-28670.009077
347,-16468.132946
348,-24572.751492
349,-17363.315373
350,-10823.215286
351,-11685.489248
352,-66412.664747
353,-22932.960872
354,-58950.87292
355,-47241.06185
356,-22425.811997
357,-43883.44859
358,-52271.898353
359,-15614.897887
360,-24554.994514
361,-17533.706317
362,-53093.158782
363,-16384.970059
364,-10972.27588
365,-9557.243467
366,-9839.738982
367,-19130.827982
368,-19194.800977
369,-69077.461475
370,-26532.449997
371,-13908.277536
372,-31673.810519
373,-19658.505024
374,-28303.161151
375,-17566.87663
376,-14540.880267
377,-22482.443127
378,-20827.42281
379,-23702.09714
380,-13362.309307
381,-52665.213787
382,-10707.741664
383,-13968.596895
384,-16160.978031
385,-14193.934197
386,-13277.516304
387,-15897.135681
388,-28659.308011
389,-21047.385659
390,-30975.931543
391,-17073.920328
392,-75782.564878
393,-21976.375686
394,-19632.879075
395,-10719.356696
396,-25083.766073
397,-29569.634971
398,-21390.290894
399,-20362.313643
400,-11299.567861
401,-17438.892923
402,-18257.486665
403,-20648.008561
404,-35353.15825
405,-17028.416347
406,-8881.521507
407,-20398.276009
408,-18011.409894
409,-10980.793622
410,-27868.330863
411,-11237.308651
412,-34667.104647
413,-30965.772232
414,-30188.767515
415,-13675.16136
416,-12718.382484
417,-19710.657626
418,-18956.290993
419,-17841.66226
420,-45703.025716
421,-12603.645003
422,-9174.680572
423,-25048.805074
424,-10315.596457
425,-17574.089324
426,-20718.658851
427,-12580.616841
428,-18803.469558
429,-16126.5091
430,-10730.674551
431,-25830.692878
432,-19737.826175
433,-28681.67808
434,-13679.807639
435,-20560.812838
436,-26783.522673
437,-16664.156872
438,-12534.21615
439,-16888.782389
440,-24314.709042
441,-16365.462686
442,-16991.072013
443,-18628.311068
444,-54724.816949
445,-19610.452494
446,-18203.817153
447,-16413.672819
448,-21768.803605
449,-52834.639867
450,-24666.514745
451,-10399.792364
452,-15026.076466
453,-26872.809436
454,-11656.140127
455,-25896.591063
456,-21615.064194
457,-24614.718964
458,-11755.005188
459,-19342.377179
460,-8542.765058
461,-22731.287489
462,-23139.052967
463,-30968.715755
464,-39950.232404
465,-8237.354475
466,-13496.569056
467,-51055.391988
468,-19666.133604
