#{"t_start": 1746313425.3486125, "env_id": "None"}
r,l,t
-612359.176937,30,1.465757
-242693.132626,27,2.869255
-107317.926758,26,4.266227
-28084.150073,32,5.693565
-730548.410792,34,7.125655
-32919.803587,34,8.56332
-484445.507676,35,10.026307
-187927.41731,34,11.452219
-314921.752802,24,12.841484
-862025.14649,25,14.230809
-65517.39778,35,15.657832
-163028.33487,39,17.16212
-687324.926659,33,18.590287
-681566.537395,43,20.045743
-195264.963232,32,21.455271
-151690.538556,38,22.90522
-96479.902141,35,24.349408
-457463.196225,34,25.783831
-766044.657951,28,27.196338
-55982.753849,27,28.591866
-138490.439376,31,30.021649
-713704.869701,27,31.401
-20969.432384,33,32.839358
-9582.162705,31,34.255549
-103678.442518,37,35.718891
-639677.226467,33,37.163142
-66009.408706,31,38.579602
-18840.07173,36,40.02379
-19540.812499,38,41.462133
-672640.855671,28,42.873105
-269861.73976,30,44.30178
-907401.880668,42,50.480894
-22365.351677,37,51.937511
-130770.344519,25,53.342675
-30795.017591,36,54.777422
-733357.082105,29,56.18206
-45668.92353,31,57.58798
-394127.93302,31,58.996585
-1090878.640159,30,60.446494
-14384.788984,33,61.858014
-399197.93302,31,63.2695
-92220.367025,29,64.667562
-276155.610321,32,66.093045
-28315.953389,33,67.516182
-68401.830591,29,68.911013
-25317.318237,35,70.342805
-216411.696659,30,71.757164
-39635.080813,37,73.200047
-68400.479756,34,74.627116
-44917.8,34,76.064777
-578295.016356,28,77.484138
-1237054.509936,31,78.928451
-1255147.283519,39,80.415306
-11924.886741,32,81.830915
-649571.959843,31,83.254669
-444745.50151,28,84.668026
-61827.988557,32,86.091915
-454517.519526,32,87.514875
-40882.696762,36,88.944027
-413893.421207,33,90.394838
-72288.058176,34,91.815495
-45772.195753,35,97.952049
-13881.771523,32,99.360548
-68880.581771,32,100.794349
-52380.069927,30,102.194551
-113152.417073,30,103.612975
-1322755.819809,35,105.065736
-899583.940381,34,106.514125
-6664.964199,29,107.915498
-31185.067037,33,109.350197
-41919.608195,35,110.787474
-916736.335314,35,112.23589
-26523.168268,32,113.660558
-32798.028781,40,115.113818
-16453.627231,33,116.524563
-48872.671564,30,117.928808
-848507.250561,27,119.329948
-644920.398213,25,120.731916
-44613.606663,29,122.128346
-153348.275402,30,123.548732
-126095.925144,31,124.972147
-638428.878271,27,126.382406
-601875.640943,29,127.801972
-18831.907955,38,129.244667
-698281.653691,35,130.689657
-33610.277605,31,132.133881
-120791.194513,33,133.542431
-752024.920632,29,134.955345
-459099.317158,32,136.360056
-618318.578644,26,137.744794
-109207.537113,27,139.140411
-41243.287174,31,140.543473
-765372.021775,28,141.954558
-730041.538723,31,148.038217
-222687.47089,38,149.50005
-17055.0464,35,150.933124
-479850.051145,30,152.354691
