#{"t_start": 1746357421.4148643, "env_id": "None"}
r,l,t
-12727.898376,30,2.059802
-41411.204311,29,4.096457
-22573.653419,29,6.389678
-51515.180199,33,8.370405
-63495.503237,36,10.315023
-9190.862084,29,12.155234
-34617.75228,35,14.277905
-54009.744658,31,16.219407
-26747.670115,34,17.759718
-41761.830043,34,19.539002
-21799.004963,32,21.624639
-76500.898388,34,23.938256
-8872.99351,28,25.71304
-15971.503585,36,27.641905
-17531.869569,31,29.686478
-26987.503785,34,31.545887
-24417.206036,27,33.385124
-17847.816217,30,34.991793
-69861.991111,35,37.030283
-26384.240544,39,39.498287
-19054.637094,34,41.782324
-20742.004238,30,43.598031
-23469.623833,37,45.126306
-79644.502655,44,47.600454
-49467.376505,37,49.36989
-37021.96457,34,51.303266
-18279.013724,24,53.176073
-20539.458973,33,54.865758
-44150.14462,27,57.248487
-48119.193078,33,59.360304
-55249.136147,29,61.384517
-57397.268124,27,63.149588
-12375.386602,36,65.149298
-14168.514315,32,67.210497
-27982.334579,33,69.582964
-43873.960494,33,71.874759
-62899.293764,30,73.520232
-25682.095135,32,75.149348
-144248.171359,30,77.290755
-53890.265509,27,79.249466
-26379.982345,37,81.383823
-65984.321376,40,83.085566
-45685.319645,26,85.059914
-15955.751181,35,87.107968
-19076.619448,34,88.522339
-16911.805882,33,90.311925
-26221.701336,25,92.408903
-14374.093306,32,94.133535
-18932.067051,32,96.402425
-71685.954116,29,98.155216
-96431.779464,33,99.976896
-26268.991395,34,102.046515
-38831.852624,31,103.565563
-21762.376733,27,105.373217
-47702.848775,34,106.922712
-23390.761256,41,109.19242
-10460.135347,33,111.141249
-31139.978983,37,113.188662
-19327.352984,27,114.643483
-12666.200693,34,116.507691
-18383.008429,36,118.832345
-29442.925231,40,120.644787
-53065.116952,33,122.553688
-21000.118299,36,124.422745
-9223.980057,29,126.446017
-37900.826632,31,128.455828
-16409.972879,28,129.960607
-47030.224487,30,131.793614
-13453.766446,33,133.768404
-18881.841617,34,135.210698
-9787.05111,31,137.627075
-11616.842333,34,139.882623
-39354.028798,29,141.601884
-50028.707765,28,143.695508
-30224.137461,34,145.200666
-37001.315645,33,147.24559
-14308.577625,29,149.328367
-47169.898083,24,151.21292
-38659.278537,33,153.246388
-24530.271314,39,155.166053
-22460.399049,33,156.990254
-36954.033497,29,158.857904
-13222.848277,29,160.369286
-32703.487086,34,162.428168
-27566.382552,34,164.789386
-28299.512963,34,166.83822
-15763.448935,35,169.275826
-14134.285955,27,170.724096
-34941.352389,34,172.766742
-19494.684509,33,174.879532
-19685.7324,27,176.508307
-31113.351972,28,178.277674
-22896.172402,31,180.342948
-10850.382693,34,182.13226
-48002.761704,34,184.317638
-15803.514649,34,185.955869
-38840.907207,27,187.607211
-11908.431754,34,189.874104
-25502.403626,29,191.794994
-8681.09541,30,193.440941
-44343.598958,37,195.456055
-42410.989822,31,197.579365
-38936.916849,27,199.468219
-25026.843974,32,201.163875
-7808.995746,34,202.646089
-40128.223071,38,204.868832
-11057.304932,33,206.375751
-63365.934493,29,208.748649
-46893.221251,29,210.721599
-19066.80599,32,212.789245
-39554.417174,29,214.414321
-18268.608713,34,216.20244
-26395.165977,36,218.440565
-14586.342808,37,220.314591
-39322.871483,29,222.296334
-9143.762657,30,224.346691
-18286.460264,30,226.078359
-17631.920656,39,228.218897
-17615.110057,32,230.211097
-16303.29902,32,231.658198
-30490.108803,32,233.552974
-15421.180816,34,235.044981
-13166.622601,29,236.56953
-59240.77652,39,238.925935
-10090.742746,26,240.826844
-37808.502161,35,243.002328
-25349.94735,32,244.529901
-27003.252508,28,246.409147
-79898.799988,41,248.306099
-17617.335535,32,250.271833
-16980.528862,32,252.135852
-54824.053745,30,254.208018
-21189.992701,35,256.55148
-23870.961359,32,258.712306
-15184.622677,35,260.580251
-44492.907234,33,262.765416
-21028.696336,36,264.4565
-56769.448705,27,266.317234
-74746.548735,37,268.858747
-12406.889575,35,270.917792
-37563.618572,33,273.183124
-26160.417271,32,274.948254
-44073.021311,30,277.085435
-43878.351867,28,278.983823
-25867.763732,35,281.151075
-15731.445511,30,283.318398
-65206.400554,37,285.096474
-21053.541832,31,287.325888
-48755.883004,38,289.380707
-9913.502322,30,291.396747
-54429.161993,33,293.467699
-24998.412689,30,295.070157
-13921.3045,27,297.308075
-32294.82684,27,299.1543
-21885.947128,34,301.216407
-46161.762285,37,303.67648
-16873.360878,27,305.206939
-82448.023034,40,307.246795
-18368.224046,40,309.629058
-55353.755859,25,311.578802
-37424.241442,30,313.875531
-36695.423935,35,315.480516
-22092.077806,27,317.148203
-115004.8,36,319.274719
-48374.361078,25,320.669513
-16236.231338,37,322.570839
-29073.326965,37,324.728975
-20320.031721,30,326.660054
-56188.209431,30,328.858474
-16089.590235,37,330.665288
-15281.174141,27,332.634399
