#{"t_start": 1746327456.74137, "env_id": "None"}
r,l,t
-59713.312529,29,2.035184
-225972.4137,33,3.492377
-207277.929018,38,5.333779
-1178184.903433,39,7.565193
-741591.017502,30,9.347502
-1142220.548005,28,11.33847
-368555.39951,35,12.963123
-35390.75022,36,15.265989
-413537.038041,35,17.505123
-258972.434953,32,19.514554
-923092.327755,28,21.135408
-578199.231061,27,23.064645
-394504.777473,28,25.193922
-20563.803879,35,27.212756
-15296.862452,31,29.993852
-116153.039125,33,32.032583
-13355.943419,39,33.987999
-664874.344844,26,35.910113
-113337.040866,33,37.797007
-61173.317612,26,39.556622
-661438.785395,32,41.092741
-43241.932201,35,43.271832
-1350609.1702,31,45.33385
-18673.836806,31,47.531935
-423157.208115,32,49.626538
-107885.673463,31,51.23379
-629603.799025,30,53.319104
-73753.658583,39,55.337568
-249481.929064,27,57.297251
-718944.606907,31,59.405764
-44239.648459,37,61.195745
-364117.396041,29,62.963744
-63002.864429,33,65.173551
-528440.604777,32,66.609004
-128770.326852,34,68.374832
-304239.955334,34,70.156458
-315214.575759,28,71.723243
-150458.743402,30,73.740956
-43711.598814,35,75.754798
-437998.18931,33,78.163405
-474171.711207,31,80.644866
-196371.919679,28,82.175373
-19516.689183,46,84.346201
-28827.459119,33,86.216678
-477058.449295,36,88.604908
-102846.263881,39,90.76441
-38100.655823,32,92.215039
-14633.599789,36,94.555874
-80545.610345,32,96.289222
-526891.07297,34,98.264824
-1229459.50638,35,100.826127
-90291.906832,34,102.354467
-11747.496541,33,104.437051
-549308.573243,29,106.167458
-966905.158793,25,108.315078
-302880.322462,31,110.243985
-26504.912853,34,112.119149
-164767.800708,34,114.372275
-13698.610708,36,116.204769
-280254.498669,28,117.603219
-677506.404423,26,119.605137
-13091.730241,43,121.738667
-60820.561179,30,123.191733
-939203.299262,32,125.612441
-1132423.30737,28,127.518999
-77992.37332,29,129.215574
-48544.867729,35,130.884842
-561502.18254,40,132.863951
-17761.243676,38,134.804331
-11989.3037,36,136.937111
-278166.828221,34,139.319212
-185666.607703,43,140.957754
-405860.022406,33,142.890831
-39250.92313,36,145.163516
-1039553.141372,35,147.012088
-21230.105968,36,149.420682
-694010.647501,24,150.940774
-418544.930321,30,153.162863
