episode,reward
0,-18242.716224
1,-33730.060059
2,-48421.971726
3,-17632.916767
4,-11271.603406
5,-15820.862555
6,-22383.508323
7,-19471.116876
8,-24537.746131
9,-37197.880307
10,-22814.32005
11,-8793.257306
12,-13832.628897
13,-26042.891958
14,-12843.039658
15,-35737.777124
16,-25437.408488
17,-19123.104396
18,-17329.055864
19,-34448.762524
20,-39391.05
21,-25538.925364
22,-22096.211413
23,-27984.528295
24,-18917.893219
25,-27525.633999
26,-25329.893405
27,-41954.315147
28,-18108.704053
29,-14847.087345
30,-28882.430771
31,-23536.986006
32,-37735.037716
33,-39319.186245
34,-44633.218386
35,-28561.720122
36,-73990.9
37,-11515.491153
38,-19963.47926
39,-29285.248478
40,-11823.190089
41,-11901.324794
42,-31592.45
43,-25628.301856
44,-15070.638567
45,-14464.200741
46,-38781.53112
47,-10616.119409
48,-31259.120877
49,-32090.988986
50,-9249.170801
51,-31738.856026
52,-11409.802691
53,-8531.358217
54,-23360.580205
55,-21416.20531
56,-19938.207449
57,-22175.826496
58,-22334.343917
59,-10245.03894
60,-31699.13548
61,-40051.510346
62,-21095.07454
63,-23502.13995
64,-21239.691433
65,-18467.983816
66,-33456.280754
67,-14615.803885
68,-17653.246351
69,-30135.158382
70,-15134.72937
71,-18428.908931
72,-21628.661337
73,-13561.086702
74,-12336.909535
75,-14228.712533
76,-25567.84761
77,-20446.045371
78,-12816.558596
79,-33218.423532
80,-29172.690149
81,-17526.112402
82,-17410.768408
83,-21607.130413
84,-24211.198617
85,-23437.250125
86,-28254.635405
87,-14425.193343
88,-17455.327491
89,-18614.768715
90,-11186.303577
91,-21118.221776
92,-20421.417758
93,-23527.746933
94,-10267.59305
95,-30202.831756
96,-9630.028724
97,-10890.515677
98,-38536.25961
99,-18779.758027
100,-13862.778921
101,-31756.505377
102,-18269.404134
103,-14002.568082
104,-13389.564045
105,-16713.614112
106,-6585.298215
107,-17433.520613
108,-27030.955675
109,-10522.779181
110,-23171.136759
111,-26549.109915
112,-16388.54044
113,-15270.441633
114,-11364.169684
115,-15192.451588
116,-8571.91706
117,-31375.325041
118,-26794.833647
119,-15104.042396
120,-49940.882558
121,-13219.321477
122,-26089.985567
123,-17190.283442
124,-24144.090748
125,-11710.14084
126,-19772.064252
127,-25430.185159
128,-28518.665464
129,-27677.659221
130,-11933.839399
131,-21322.793237
132,-22142.876421
133,-19480.389228
134,-27432.103407
135,-21295.983295
136,-19528.208581
137,-27452.254311
138,-24760.371182
139,-16002.177569
140,-24429.619429
141,-28230.819401
142,-24149.882687
143,-8743.79873
144,-39538.114495
145,-24215.488429
146,-23117.575782
147,-14659.651725
148,-31805.388799
149,-65366.954817
150,-41444.032594
151,-41318.311812
152,-15249.841432
153,-16352.134744
154,-25081.873587
155,-16770.092401
156,-12592.747067
157,-19473.12573
158,-24307.287905
159,-30571.182933
160,-22646.462136
161,-25950.331521
162,-14053.846285
163,-30899.459951
164,-24820.606428
165,-16406.001168
166,-31248.503588
167,-35204.971641
168,-24616.815208
169,-12928.59411
170,-12662.947631
171,-10495.195528
172,-29100.797508
173,-15963.732338
174,-29648.004322
175,-17134.309645
176,-23329.017521
177,-17531.820171
178,-23095.686908
179,-33199.716873
180,-24832.097322
181,-24269.366645
182,-31945.848521
183,-22533.833485
184,-15098.718252
