episode,reward
0,-19205.5
1,-18253.05
2,-27236.05
3,-11452.55
4,-8523.1
5,-9410.2
6,-8846.1
7,-16480.25
8,-20309.4
9,-19478.75
10,-19319.2
11,-13583.2
12,-22839.55
13,-18229.55
14,-21213.4
15,-11062.3
16,-11194.5
17,-31675.55
18,-21324.1
19,-39819.05
20,-18716.75
21,-29114.05
22,-26805.0
23,-14019.45
24,-50386.1
25,-13906.55
26,-8753.3
27,-61805.8
28,-18865.3
29,-26766.05
30,-36746.7
31,-22918.4
32,-20864.05
33,-30148.2
34,-22659.15
35,-17522.9
36,-20437.95
37,-16850.65
38,-35076.8
39,-31069.1
40,-15810.65
41,-36349.7
42,-22494.9
43,-20656.95
44,-19484.8
45,-20047.0
46,-27068.6
47,-21874.75
48,-13208.35
49,-17127.6
50,-12591.5
51,-16912.45
52,-33255.75
53,-15642.75
54,-18396.25
55,-30440.95
56,-21298.1
57,-24632.25
58,-19652.65
59,-38218.4
60,-13309.55
61,-30745.75
62,-20279.35
63,-23853.25
64,-19975.95
65,-20789.6
66,-22405.85
67,-17746.5
68,-25613.8
69,-13012.05
70,-14833.45
71,-13650.95
72,-17408.4
73,-28597.5
74,-18419.75
75,-16742.5
76,-30519.9
77,-41999.3
78,-12234.55
79,-23435.95
80,-8539.9
81,-17834.4
82,-18373.0
83,-42416.05
84,-15595.5
85,-27534.0
86,-43184.6
87,-27109.3
88,-15948.05
89,-27770.15
90,-10837.8
91,-16048.55
92,-15330.0
93,-19316.5
94,-13406.95
95,-34767.95
96,-18560.1
97,-15001.85
98,-36946.8
99,-15115.05
100,-25102.35
101,-7866.15
102,-35616.35
103,-61720.65
104,-19476.65
105,-16514.65
106,-25324.1
107,-52764.95
108,-41329.6
109,-23933.1
110,-33949.9
111,-13372.55
112,-20058.95
113,-56020.85
114,-16107.65
115,-19548.95
116,-25156.35
117,-23747.3
118,-27386.2
119,-44467.6
120,-10991.2
121,-17528.2
122,-19767.05
123,-13602.35
124,-16766.4
125,-36230.7
126,-37365.2
127,-16857.7
128,-15244.85
129,-8801.25
130,-13520.9
131,-25019.1
132,-15478.7
133,-13318.15
134,-54023.2
135,-18271.05
136,-17178.55
137,-29324.85
138,-31836.45
139,-36801.65
140,-14367.05
141,-13058.35
142,-20888.0
143,-14089.2
144,-17079.4
145,-21534.75
146,-35283.45
147,-11744.65
148,-78054.25
149,-40290.65
150,-9112.0
151,-25344.0
152,-16910.2
153,-15909.9
154,-39440.4
155,-21360.4
156,-31037.4
157,-41742.65
158,-12767.05
159,-25048.1
160,-11658.65
161,-11093.9
162,-32305.35
163,-18417.4
164,-10696.4
165,-27736.3
166,-34754.8
167,-19222.75
168,-22752.0
169,-19921.2
170,-15912.3
171,-16690.25
172,-19441.9
173,-20221.2
174,-15170.8
175,-22360.0
176,-25041.7
177,-17969.1
178,-40513.3
179,-24849.95
180,-11077.7
181,-19254.5
182,-24937.5
183,-20249.85
184,-18395.05
185,-17612.1
186,-19079.65
187,-48844.3
188,-45791.1
189,-53875.15
190,-24788.25
191,-132760.4
192,-21745.65
193,-32059.65
194,-16502.8
195,-11180.45
196,-20174.15
197,-12369.95
198,-46660.65
199,-14008.55
200,-8140.4
201,-16509.65
202,-21860.9
203,-14267.7
204,-17186.45
205,-7284.55
206,-27357.15
207,-11399.5
208,-19492.0
209,-17088.6
210,-19671.65
211,-14757.0
212,-33766.25
213,-21566.1
214,-14271.3
215,-12291.5
216,-29306.25
217,-41152.55
218,-32297.65
219,-36773.6
220,-33499.45
221,-29725.55
222,-10209.55
223,-32937.5
224,-12287.8
225,-20801.2
226,-17086.4
227,-9448.45
228,-17588.15
229,-20453.25
230,-10254.3
231,-13866.55
232,-10225.4
233,-33061.85
234,-17774.05
235,-13983.6
236,-17642.9
237,-18467.35
238,-16394.75
239,-23627.0
240,-26209.65
241,-16236.05
242,-18905.65
243,-10078.85
244,-25368.65
245,-22999.25
246,-17060.7
247,-27526.55
248,-9908.2
249,-16351.8
250,-12839.0
251,-17657.5
252,-23795.55
253,-11484.05
254,-16055.6
255,-27740.2
256,-11950.75
257,-18996.8
258,-35046.2
259,-16284.85
260,-18479.15
261,-14780.6
262,-22790.45
263,-14343.0
264,-42712.0
265,-10904.95
266,-11077.0
267,-15217.8
268,-21789.55
269,-10402.65
270,-22177.0
271,-31451.05
272,-26806.9
273,-17720.65
274,-27046.5
275,-40480.75
276,-54395.05
277,-17417.25
278,-16637.15
279,-25995.2
280,-44165.0
281,-31503.9
282,-12898.7
283,-18044.5
284,-21712.45
285,-25172.7
286,-15594.9
287,-13565.65
288,-14469.75
289,-23521.4
290,-19706.65
291,-31129.05
292,-15489.75
293,-13600.05
294,-16009.5
295,-31709.45
296,-17656.2
297,-19598.95
298,-41255.45
299,-35140.35
300,-10869.25
301,-17780.3
302,-59999.2
303,-15910.25
304,-20875.75
305,-16878.3
306,-12945.35
307,-14110.6
308,-17207.55
309,-16424.95
310,-35402.65
311,-29923.35
312,-18633.95
313,-27327.0
314,-20857.45
315,-13662.2
316,-29745.35
317,-10909.1
318,-7317.55
319,-27566.8
320,-25674.75
321,-21082.95
322,-19223.55
323,-13095.6
324,-74290.15
325,-12218.45
326,-10009.65
327,-10941.4
328,-11875.0
329,-15702.2
330,-14504.55
331,-13371.6
332,-17708.2
