#{"t_start": 1746311963.399902, "env_id": "None"}
r,l,t
-19205.5,36,1.459222
-18253.05,40,2.912219
-27236.05,34,4.339281
-11452.55,26,5.733649
-8523.1,26,7.115961
-9410.2,33,8.509917
-8846.1,26,9.901371
-16480.25,29,11.319566
-20309.4,39,12.760136
-19478.75,35,14.201512
-19319.2,36,15.644373
-13583.2,32,17.065893
-22839.55,31,18.485558
-18229.55,35,19.913648
-21213.4,31,21.328226
-11062.3,30,22.710468
-11194.5,36,24.152068
-31675.55,34,25.601955
-21324.1,31,27.020197
-39819.05,32,28.471843
-18716.75,27,29.876917
-29114.05,35,31.311057
-26805.0,37,32.785782
-14019.45,29,34.195853
-50386.1,44,35.663361
-13906.55,29,37.059445
-8753.3,25,38.455399
-61805.8,33,39.901133
-18865.3,40,41.362844
-26766.05,34,42.799954
-36746.7,36,48.503705
-22918.4,33,49.936089
-20864.05,32,51.352058
-30148.2,33,52.787085
-22659.15,32,54.216714
-17522.9,31,55.638563
-20437.95,26,57.043109
-16850.65,30,58.474716
-35076.8,30,59.904331
-31069.1,36,61.358634
-15810.65,34,62.77584
-36349.7,40,64.260742
-22494.9,29,65.675488
-20656.95,31,67.111624
-19484.8,33,68.541203
-20047.0,31,69.975549
-27068.6,36,71.411605
-21874.75,28,72.822962
-13208.35,32,74.233155
-17127.6,27,75.640398
-12591.5,32,77.06381
-16912.45,31,78.482137
-33255.75,33,79.913658
-15642.75,28,81.305501
-18396.25,33,82.736901
-30440.95,39,84.175019
-21298.1,34,85.609029
-24632.25,34,87.041415
-19652.65,29,88.455589
-38218.4,31,89.892883
-13309.55,29,91.293457
-30745.75,30,96.102171
-20279.35,34,97.543313
-23853.25,35,98.986056
-19975.95,34,100.420971
-20789.6,39,101.869085
-22405.85,35,103.311314
-17746.5,31,104.747594
-25613.8,32,106.173971
-13012.05,27,107.579166
-14833.45,28,108.985167
-13650.95,30,110.384295
-17408.4,36,111.830589
-28597.5,32,113.269758
-18419.75,30,114.684414
-16742.5,33,116.101514
-30519.9,33,117.535766
-41999.3,32,118.969745
-12234.55,29,120.368941
-23435.95,31,121.784409
-8539.9,33,123.189932
-17834.4,24,124.577907
-18373.0,24,125.973563
-42416.05,29,127.379756
-15595.5,33,128.812585
-27534.0,43,130.287698
-43184.6,33,131.73227
-27109.3,32,133.14512
-15948.05,32,134.576663
-27770.15,32,136.002052
-10837.8,34,137.43281
-16048.55,39,138.864684
-15330.0,33,144.821007
-19316.5,35,146.253686
-13406.95,33,147.678365
-34767.95,29,149.110323
-18560.1,27,150.537643
-15001.85,24,151.942122
-36946.8,39,153.440587
-15115.05,44,154.882037
-25102.35,38,156.334652
-7866.15,37,157.749575
-35616.35,29,159.180262
-61720.65,36,160.649711
-19476.65,38,162.095007
-16514.65,35,163.532429
-25324.1,34,164.958297
-52764.95,31,166.396378
-41329.6,29,167.805411
-23933.1,32,169.235751
-33949.9,30,170.652032
-13372.55,33,172.065871
-20058.95,30,173.494859
-56020.85,39,174.983061
-16107.65,37,176.424825
-19548.95,28,177.811684
-25156.35,28,179.239745
-23747.3,42,180.704034
-27386.2,29,182.120803
-44467.6,33,183.576319
-10991.2,34,185.004047
-17528.2,32,186.415665
-19767.05,26,192.402308
-13602.35,32,193.824183
-16766.4,36,195.252252
-36230.7,31,196.682253
-37365.2,32,198.135162
-16857.7,31,199.552297
-15244.85,24,200.929159
-8801.25,29,202.343633
-13520.9,34,203.789188
-25019.1,30,205.210973
-15478.7,32,206.643894
-13318.15,25,208.022587
-54023.2,29,209.431715
-18271.05,34,210.861223
-17178.55,26,212.279196
-29324.85,34,213.710166
-31836.45,34,215.138152
-36801.65,49,216.659537
-14367.05,31,218.090229
-13058.35,28,219.487081
-20888.0,28,220.886588
-14089.2,31,222.323846
-17079.4,30,223.714629
-21534.75,36,225.140124
-35283.45,30,226.5693
-11744.65,35,228.006997
-78054.25,29,229.437308
-40290.65,33,230.884697
-9112.0,30,232.274676
-25344.0,40,233.767499
-16910.2,32,235.194588
-15909.9,36,236.626307
-39440.4,36,241.830252
-21360.4,37,243.29119
-31037.4,36,244.749111
-41742.65,30,246.159643
-12767.05,35,247.58971
-25048.1,29,249.002746
-11658.65,37,250.441596
-11093.9,31,251.850017
-32305.35,31,253.276999
-18417.4,31,254.684958
-10696.4,31,256.095889
-27736.3,28,257.511613
-34754.8,28,258.934796
-19222.75,32,260.357976
-22752.0,25,261.741833
-19921.2,27,263.142257
-15912.3,29,264.56351
-16690.25,44,266.017349
-19441.9,32,267.443906
-20221.2,29,268.844486
-15170.8,28,270.268078
