#{"t_start": 1746355628.2623606, "env_id": "None"}
r,l,t
-25136.228419,27,1.946951
-16653.697375,29,3.46103
-25029.111725,27,5.372093
-17656.316409,29,7.380014
-11339.156957,31,9.388155
-19228.994654,23,11.416457
-11216.123272,32,13.330849
-19949.195551,31,15.27712
-17736.749349,28,17.215997
-15411.711393,33,19.130111
-9255.864384,24,21.077465
-9975.322003,34,22.57139
-9884.360559,32,24.694744
-22013.707163,31,26.559096
-51189.824272,33,28.579983
-26352.244344,27,30.560094
-42546.225501,33,32.57459
-13671.144091,32,34.482783
-27434.518663,33,36.519333
-8421.418269,30,37.946138
-41235.786895,37,40.379067
-12038.701199,29,42.603235
-11508.836039,32,44.436769
-31886.086753,25,46.231919
-19510.585509,28,47.618488
-17851.112899,27,49.655527
-42499.032074,33,51.668037
-8481.66935,25,53.154831
-17267.561002,35,54.840303
-17799.850461,31,56.511082
-12728.973797,28,57.994103
-18329.212938,31,60.086105
-11033.180894,29,62.094391
-16968.883637,33,63.925103
-28540.669471,25,65.91243
-26987.720897,32,67.808223
-52919.925477,35,69.868914
-11344.112722,33,72.38617
-21381.41741,32,74.261423
-24377.515482,33,76.565447
-19111.31509,30,78.180282
-18533.858331,28,80.133138
-27048.731975,32,82.253807
-56545.89176,31,84.126
-24744.819081,26,85.531767
-34262.05642,36,87.564094
-12024.206214,24,89.249774
-53477.527566,30,90.942838
-33127.690639,39,92.977112
-22482.388335,35,95.190286
-48299.228507,38,96.719269
-32986.234053,32,98.246649
-19184.310642,30,100.092856
-31313.242461,32,101.795962
-27348.659444,29,103.372802
-26453.850014,42,105.459654
-47403.685917,47,107.413894
-16443.59912,36,109.568494
-10595.965322,29,111.458466
-31006.969094,30,113.427207
-61887.145609,35,115.464982
-27766.34103,34,117.508268
-14761.306408,32,118.931659
-12654.138952,30,120.953555
-13511.601474,34,122.666199
-16716.843217,27,124.599058
-9584.117512,34,126.165385
-14543.885882,35,127.963721
-16766.61638,34,130.024951
-20298.954315,33,131.482165
-40937.323846,30,133.2126
