#{"t_start": 1746352040.5902646, "env_id": "None"}
r,l,t
-15276.655704,32,1.710559
-21193.43734,33,3.9576
-24413.129677,27,5.905533
-22884.84593,38,7.967296
-27041.716156,36,9.411561
-57685.281904,31,11.618598
-30012.223575,34,14.033618
-35259.836285,29,15.816696
-27070.797453,27,17.210422
-10055.459785,26,19.211966
-7045.661906,33,20.834679
-105499.37865,37,22.487838
-9524.30898,29,24.63282
-31709.304719,30,26.501827
-29531.104645,25,28.527491
-26261.906107,35,30.425858
-26737.350293,30,32.334994
-13374.528352,28,34.954382
-22604.728693,31,36.919593
-15282.080422,30,38.848375
-15425.340145,38,40.780919
-33221.366153,27,42.878871
-29345.365768,26,44.758319
-15757.788587,36,47.05208
-26933.407534,29,48.585611
-8340.046399,25,50.062547
-14339.61701,25,51.861223
-23385.958505,33,53.432082
-45647.244313,27,55.423697
-14000.426136,23,57.353919
-12707.31135,29,58.749697
-34282.255451,34,60.902924
-12203.81302,33,63.026964
-64664.410633,34,65.140601
-21666.092405,32,67.390568
-54373.312358,31,68.934627
-19943.757466,31,70.878978
-26958.581622,23,72.904453
-16594.805776,32,74.394746
-19588.298531,29,76.408121
-24483.792393,32,78.139343
-23357.91222,35,80.503572
-69745.941615,35,82.749427
-44703.065088,28,84.873321
-17887.039928,36,86.613323
-20541.004829,31,88.798381
-62377.006202,35,90.684502
-30361.749578,35,92.261103
-16630.856057,34,94.426393
-41454.910516,32,95.962343
-46603.205709,25,97.810528
-17902.115652,33,99.616824
-47753.949376,37,101.163277
-13014.496386,25,103.231642
-18619.199544,39,105.556687
-12889.261803,35,107.464071
-36386.374042,24,109.42373
-14788.163326,30,111.504818
-13647.938958,29,113.917526
-16979.02266,28,115.877698
-43235.630576,33,117.374571
-23268.183814,35,119.484065
-13075.501864,30,121.398745
-22244.4,40,122.870381
-19963.945718,29,124.664544
-25928.437146,39,127.072795
-13417.986377,39,129.101392
-8444.198841,30,130.830293
-65356.616413,33,132.391529
-22315.492624,37,134.983888
-48481.283424,27,137.160225
-14806.042602,42,139.308821
-47670.183024,25,141.594386
-13403.498909,28,143.126042
-59004.520965,35,145.341723
-22230.005319,36,147.440649
-15285.195557,33,148.938807
-30937.748373,31,150.474064
-41006.265583,31,152.425294
-22631.92633,34,154.505895
-36812.440797,31,156.580749
-21596.442915,30,158.616977
-38888.898254,28,160.821953
-27564.896529,33,162.511917
-18033.645369,32,164.727683
-28627.1264,35,166.328552
-126855.332459,34,167.853726
-31088.270127,47,170.261463
-41558.757903,26,172.511003
-41431.623759,35,174.576302
-19015.256011,38,176.075138
-22834.360323,34,177.954616
-28913.747988,29,179.968236
-42771.965565,33,182.486864
-19622.555042,35,184.351952
-13198.814841,34,186.739324
-15087.915068,24,188.213713
-37300.133963,31,189.763127
-29490.054857,36,191.744878
-48800.483254,31,194.057232
-21791.888086,31,195.674077
-49262.008561,29,197.550872
-38974.499977,34,199.354316
-31865.137109,25,201.446291
-25247.43406,35,203.496369
-32760.233762,24,205.371052
-36697.453874,30,207.128437
-37582.565322,41,209.335837
-26114.036359,40,211.236712
-32666.838299,33,213.000999
-61560.714815,28,214.712224
-20551.864115,31,216.713087
-54495.392284,28,218.660288
-44072.921076,26,220.227514
-44224.096005,34,222.294621
-34403.190464,29,224.393773
-26283.682853,33,226.170998
-17448.702199,31,228.269839
-12768.369984,30,230.209949
-16139.146368,31,232.387429
-41840.0445,43,234.473577
-13484.338866,32,237.014
-44397.087811,39,238.979774
-26172.372498,28,240.531246
