#{"t_start": 1746372243.154429, "env_id": "None"}
r,l,t
-18430.778906,34,2.531092
-29804.247494,26,3.967154
-119182.945807,39,5.834131
-13423.053761,31,7.536955
-33692.176998,36,9.442413
-30633.728213,34,11.266892
-10161.861897,29,13.796533
-17449.311646,36,15.720361
-34462.56979,30,17.444039
-35882.000846,31,19.20879
-37871.34198,25,20.979601
-12598.249841,29,22.64825
-16683.697072,32,24.29248
-17271.934094,33,26.447327
-59511.370358,28,29.626274
-42796.114398,27,31.370262
-86460.166811,31,33.11743
-36620.414705,25,36.028507
-75745.063617,26,37.838092
-65292.093286,40,40.09531
-28413.752648,34,42.028184
-61654.075924,30,43.828744
-37487.195217,39,45.696619
-77338.688311,27,47.278344
-46083.304724,26,50.385573
-32353.884609,24,53.38397
-16950.061317,31,56.248263
-55996.48323,33,58.160854
-75555.451937,29,60.96015
-15006.46162,30,64.097512
-43211.242036,32,67.18957
-10702.710501,28,70.283446
-14473.03436,28,72.886678
-35411.836224,31,76.483449
-19776.656044,39,79.313698
-18865.100371,30,81.133245
-29830.637302,26,82.959068
-79302.816597,37,84.574176
-66469.92801,30,87.68697
-77412.703124,28,89.529021
-58434.448459,25,91.217866
-46011.286618,33,93.149101
-34682.715632,33,94.891082
-57904.273693,32,96.411101
-58864.031254,28,98.087708
-72802.820986,30,100.146021
-39584.646724,38,101.870022
-18109.120629,34,103.540298
-63147.230296,28,105.259124
-22003.684037,27,108.042964
-49028.839752,30,109.742844
-16239.49999,27,111.463395
-33061.258651,37,113.451243
-44853.112066,36,115.26811
-30607.90109,35,117.028325
-68098.042781,31,118.753106
-47103.428007,32,122.37209
-8393.025207,24,125.024528
-12322.103592,32,128.270564
-17490.834649,36,132.020761
-22856.571287,33,133.569789
-25226.195015,23,135.161672
-32130.362244,31,137.014877
-20046.703415,34,138.88053
-7493.756201,33,140.974936
-17862.410629,35,142.726754
-74306.247051,28,144.698781
-27710.433437,28,146.404979
-57847.794279,34,148.14161
-48761.685732,28,149.807062
-31003.18823,30,151.370429
-53464.902084,33,153.056852
-94540.010522,28,154.877249
-77082.08591,33,156.706089
-41698.084444,35,158.397026
-47285.306546,40,160.561334
-80725.908779,27,162.220808
-42184.73435,31,164.062027
-18741.799846,39,165.994084
-13656.125779,35,167.982382
-30766.406647,37,169.79945
-10861.981451,30,173.027144
-63051.720685,33,175.209649
-77178.188792,29,178.378925
-13686.537398,31,180.108511
-27166.701806,30,182.506898
-14162.581623,30,184.408707
-76804.902638,40,188.015261
-36238.463055,27,190.518298
-16703.871095,32,192.668225
-49699.196958,29,194.403113
-23355.018287,35,197.38991
-55862.472575,27,200.464176
-72761.438733,23,202.390315
-81258.51567,28,204.347476
-18273.255504,26,206.208983
-72743.49509,35,208.285254
-18065.543296,33,210.732991
-26723.612449,38,212.470564
-52285.167092,36,214.700552
-22198.514276,33,217.58145
-30444.844049,32,219.169796
-42655.931764,29,220.740097
-49858.780854,26,222.211216
-23496.14026,39,224.022861
-23396.352572,33,225.77685
-21696.906772,39,227.289614
-12050.287528,30,228.950326
-64834.929904,38,230.471308
-16847.310998,33,232.147557
-63615.172191,32,233.736533
-91820.17592,40,235.404838
-17852.656991,33,236.906479
-105506.46348,34,238.346588
-13596.7375,29,239.996246
-14982.184199,35,241.914241
-62981.779255,26,244.103297
-13416.3,35,247.16127
-155486.030869,30,249.67701
-28987.757863,36,251.904522
-12154.986737,30,253.995723
-56997.194969,31,255.487742
-15672.812914,29,256.89181
-24172.49285,29,258.612816
-65335.974382,34,260.836189
-16028.172185,27,262.36748
-69676.232291,34,264.242389
-21978.917273,35,265.739948
-41458.097649,38,267.242482
-53598.569654,31,268.91789
-36722.997234,38,270.442715
-64155.162686,28,271.897263
-37035.987837,37,273.331019
-40423.304561,48,274.848425
-81629.438397,29,277.490577
-32911.149718,34,279.095733
-20630.027374,36,280.680395
-29580.114537,32,282.410203
-30485.448618,25,283.909779
-24517.91991,30,285.413043
-69923.424754,27,287.130445
-66952.81028,28,288.741477
-42014.911844,33,290.591141
-14994.266212,31,292.131758
-31473.382034,26,293.816491
-66400.017412,32,295.281046
-22295.129233,38,297.040106
-76766.995898,26,298.952868
-58165.609081,36,301.427371
-23271.767498,32,303.108997
-23838.513333,33,304.945054
-88265.97247,37,306.563153
-19355.509427,34,308.435517
-92367.719871,40,309.990074
-17503.754916,35,311.651892
-14802.484894,39,313.163391
