episode,reward
0,-18430.778906
1,-29804.247494
2,-119182.945807
3,-13423.053761
4,-33692.176998
5,-30633.728213
6,-10161.861897
7,-17449.311646
8,-34462.56979
9,-35882.000846
10,-37871.34198
11,-12598.249841
12,-16683.697072
13,-17271.934094
14,-59511.370358
15,-42796.114398
16,-86460.166811
17,-36620.414705
18,-75745.063617
19,-65292.093286
20,-28413.752648
21,-61654.075924
22,-37487.195217
23,-77338.688311
24,-46083.304724
25,-32353.884609
26,-16950.061317
27,-55996.48323
28,-75555.451937
29,-15006.46162
30,-43211.242036
31,-10702.710501
32,-14473.03436
33,-35411.836224
34,-19776.656044
35,-18865.100371
36,-29830.637302
37,-79302.816597
38,-66469.92801
39,-77412.703124
40,-58434.448459
41,-46011.286618
42,-34682.715632
43,-57904.273693
44,-58864.031254
45,-72802.820986
46,-39584.646724
47,-18109.120629
48,-63147.230296
49,-22003.684037
50,-49028.839752
51,-16239.49999
52,-33061.258651
53,-44853.112066
54,-30607.90109
55,-68098.042781
56,-47103.428007
57,-8393.025207
58,-12322.103592
59,-17490.834649
60,-22856.571287
61,-25226.195015
62,-32130.362244
63,-20046.703415
64,-7493.756201
65,-17862.410629
66,-74306.247051
67,-27710.433437
68,-57847.794279
69,-48761.685732
70,-31003.18823
71,-53464.902084
72,-94540.010522
73,-77082.08591
74,-41698.084444
75,-47285.306546
76,-80725.908779
77,-42184.73435
78,-18741.799846
79,-13656.125779
80,-30766.406647
81,-10861.981451
82,-63051.720685
83,-77178.188792
84,-13686.537398
85,-27166.701806
86,-14162.581623
87,-76804.902638
88,-36238.463055
89,-16703.871095
90,-49699.196958
91,-23355.018287
92,-55862.472575
93,-72761.438733
94,-81258.51567
95,-18273.255504
96,-72743.49509
97,-18065.543296
98,-26723.612449
99,-52285.167092
100,-22198.514276
101,-30444.844049
102,-42655.931764
103,-49858.780854
104,-23496.14026
105,-23396.352572
106,-21696.906772
107,-12050.287528
108,-64834.929904
109,-16847.310998
110,-63615.172191
111,-91820.17592
112,-17852.656991
113,-105506.46348
114,-13596.7375
115,-14982.184199
116,-62981.779255
117,-13416.3
118,-155486.030869
119,-28987.757863
120,-12154.986737
121,-56997.194969
122,-15672.812914
123,-24172.49285
124,-65335.974382
125,-16028.172185
126,-69676.232291
127,-21978.917273
128,-41458.097649
129,-53598.569654
130,-36722.997234
131,-64155.162686
132,-37035.987837
133,-40423.304561
134,-81629.438397
135,-32911.149718
136,-20630.027374
137,-29580.114537
138,-30485.448618
139,-24517.91991
140,-69923.424754
141,-66952.81028
142,-42014.911844
143,-14994.266212
144,-31473.382034
145,-66400.017412
146,-22295.129233
147,-76766.995898
148,-58165.609081
149,-23271.767498
150,-23838.513333
151,-88265.97247
152,-19355.509427
153,-92367.719871
154,-17503.754916
155,-14802.484894
