episode,reward
0,-45093.710079
1,-20756.904734
2,-10845.965999
3,-10184.837431
4,-23097.25102
5,-13048.893148
6,-24394.949063
7,-14925.445552
8,-13934.536823
9,-20231.221884
10,-39495.763874
11,-22635.446353
12,-15030.984377
13,-46820.602852
14,-59922.531668
15,-25990.002888
16,-30667.328108
17,-17340.178847
18,-30435.303383
19,-12564.308993
20,-27925.870895
21,-29368.401639
22,-37277.433727
23,-17838.609849
24,-12248.511979
25,-9874.237391
26,-20908.052873
27,-11895.53219
28,-13075.091755
29,-42325.219538
30,-10830.127728
31,-8857.270987
32,-17078.427526
33,-19918.678359
34,-14815.969502
35,-72562.310044
36,-14345.742825
37,-10646.063061
38,-24542.206951
39,-35940.550573
40,-16761.265232
41,-28859.54377
42,-54697.589229
43,-66932.47388
44,-14227.062005
45,-23369.051155
46,-62497.709452
47,-21399.402298
48,-15302.237412
49,-43963.853365
50,-31849.234884
51,-27222.455909
52,-32413.366911
53,-14443.978409
54,-20084.547678
55,-36640.636729
56,-11310.720409
57,-15381.123102
58,-7707.040499
59,-23872.067064
60,-52311.36347
61,-14400.48946
62,-19712.186137
63,-11128.45918
64,-15347.690763
65,-15325.925552
66,-11425.903279
67,-26140.592932
68,-18808.498387
69,-25168.760606
70,-15474.275688
71,-21896.634218
72,-19176.450342
73,-52044.60265
74,-52388.621162
75,-73941.24665
76,-25503.749632
77,-23822.226066
78,-23514.559819
79,-12923.2126
80,-23854.7034
81,-28448.82025
82,-19410.982367
83,-12278.594552
84,-10152.719721
85,-22700.822454
86,-27527.376876
87,-48567.406946
88,-22869.04584
89,-89844.641591
90,-19153.316836
91,-28828.665315
92,-56187.663532
93,-12931.37674
94,-11150.131624
95,-53415.560045
96,-15059.098126
97,-15074.988084
98,-78094.770032
99,-65921.682523
100,-49174.849719
101,-13736.879877
102,-50305.274212
103,-19174.881176
104,-53191.973401
105,-18980.098023
106,-21156.24274
107,-26101.510686
108,-14978.694352
109,-9527.976987
110,-31708.404015
111,-59534.278868
112,-44586.188619
113,-18792.128843
114,-15936.082477
115,-46516.646245
116,-12575.197234
117,-68771.01658
118,-21652.10379
119,-18939.785468
120,-40893.61122
121,-41365.960597
122,-58867.858196
123,-70267.524429
124,-25018.981828
125,-45884.210643
126,-39945.019392
127,-55291.681471
128,-8198.793017
129,-7969.182812
130,-21398.511294
131,-24804.149093
132,-29085.352578
133,-11534.252012
134,-18458.698377
135,-40349.221566
136,-27951.194038
137,-21015.814769
138,-10479.80099
139,-50692.563713
140,-23109.435319
141,-26517.703347
142,-19075.195464
143,-34026.173834
144,-12954.057928
145,-37743.559257
146,-17384.837707
147,-11595.267468
148,-18225.736359
149,-74523.64443
150,-27959.544151
151,-31745.520791
152,-22001.979576
153,-38285.816156
154,-56440.832012
155,-26862.497461
156,-41771.769916
157,-21780.893396
158,-10617.002207
159,-34591.915788
160,-15789.582299
161,-18442.939554
162,-23896.452445
163,-27003.66696
164,-21361.512211
165,-13274.248684
166,-21937.638488
167,-51510.094394
168,-22028.511549
169,-17829.170882
170,-49426.984233
171,-34402.737131
172,-64706.685211
173,-20395.368888
174,-32570.545773
175,-12978.137123
176,-12978.547962
177,-21026.695159
178,-30584.409771
179,-12267.540636
180,-15063.119995
181,-17960.883339
182,-12057.459338
183,-19199.564185
184,-9003.620298
185,-26211.942403
186,-39118.46256
187,-42617.74572
188,-42192.346491
189,-35223.223756
190,-46240.128492
191,-17940.917866
192,-100866.997364
193,-65670.029215
194,-15016.947028
195,-34365.259003
196,-21119.251022
197,-22351.214851
198,-16122.365451
199,-27016.116841
200,-20634.698621
201,-19790.916987
202,-61424.200068
203,-42873.419066
204,-12753.019668
205,-11120.364914
206,-21273.462419
207,-67099.601848
208,-17756.857724
209,-50385.333176
210,-19028.147037
211,-21245.291452
212,-27227.747311
213,-15113.125054
214,-11349.420628
215,-18646.215472
216,-14058.010845
217,-49946.347846
218,-59972.349874
219,-62818.872933
220,-21788.691117
221,-14901.76404
222,-75696.440067
223,-20362.264629
224,-18389.736749
225,-17768.899252
226,-15667.288306
227,-29009.860804
228,-15763.71091
229,-20974.271251
230,-17914.590549
231,-19109.275296
232,-21666.432138
233,-14748.883773
234,-53802.265877
235,-20869.455194
236,-15843.578989
237,-67792.289162
238,-19652.149459
239,-43634.360553
240,-17744.800337
241,-26830.283179
242,-18601.434752
243,-26874.84592
244,-31399.103452
245,-19688.688316
246,-16628.197835
247,-10246.265941
248,-36072.647479
249,-34200.632113
250,-20315.482679
251,-34009.215182
252,-29393.988268
253,-19486.178374
254,-24140.775904
255,-13552.58367
256,-13801.566033
257,-16570.522447
258,-55946.197996
259,-14653.864166
260,-16310.666327
261,-25255.845629
262,-47270.816809
263,-13707.019943
264,-32560.489264
265,-24191.269983
266,-8630.725508
267,-22712.367883
268,-63972.927182
269,-35783.722013
270,-21801.134417
271,-42162.054721
272,-35727.994438
273,-20251.578282
274,-20212.084689
275,-14357.664453
276,-9450.89629
277,-28671.781454
278,-20213.762197
279,-24722.744013
280,-26622.696873
281,-33806.178829
282,-10110.458895
283,-20475.819641
284,-35122.440741
285,-17719.719284
286,-11033.734627
287,-44414.554971
288,-54151.105925
289,-44265.810138
290,-25477.269434
291,-21947.814978
292,-14497.655405
293,-37502.132083
294,-11768.4725
295,-18227.535508
296,-17673.964114
297,-19799.232832
298,-8550.266345
299,-26887.945686
300,-13689.08001
301,-13238.482015
302,-13320.379236
303,-79065.322824
304,-24614.672349
305,-10623.655721
306,-40388.652609
307,-50556.319846
308,-30617.560215
309,-14474.14207
310,-23244.68388
311,-66582.098201
312,-14162.886176
313,-15576.250162
314,-18149.108265
315,-21923.603217
316,-19315.598616
317,-34941.631519
318,-34367.787149
319,-61698.040181
320,-22806.129677
321,-14118.840296
322,-55802.277547
323,-20317.234202
324,-10079.083147
325,-16764.844075
326,-25827.475081
327,-20606.39259
328,-28497.373327
329,-21269.198734
330,-74162.797483
331,-15952.54587
332,-11575.922262
333,-51470.09481
334,-16336.193612
335,-82823.421584
336,-23399.191894
337,-11704.603339
338,-52598.258436
339,-13022.375165
340,-11006.054044
341,-33958.074991
342,-10328.108736
343,-77000.13512
344,-19883.188628
345,-11563.903826
346,-24139.690932
347,-21739.204199
348,-48855.145436
349,-21795.881943
350,-36852.14966
351,-33716.49182
352,-17121.843145
353,-38619.89252
354,-78117.238587
355,-33552.380277
356,-15258.326819
357,-58425.988971
358,-15759.181541
359,-17969.11231
360,-26217.867202
361,-33277.88089
362,-29515.22206
363,-18680.91947
364,-11843.466599
365,-19153.527509
366,-9956.469667
367,-28001.87948
368,-25537.042384
369,-24113.005664
370,-24349.327308
371,-32457.872346
372,-10433.076248
373,-30105.115634
374,-77208.919532
375,-47211.504203
376,-9654.263974
377,-30618.873477
378,-64021.12794
379,-28830.145499
380,-19056.107847
381,-13996.686342
382,-12114.735196
383,-21263.578047
384,-35506.045212
385,-19940.031058
386,-27191.029329
387,-49803.517014
388,-34527.43229
389,-21509.269466
390,-46301.010177
391,-13438.747414
392,-26388.897807
393,-18014.713833
394,-15316.470127
395,-17572.808519
396,-50036.584749
397,-65257.369059
398,-13769.242764
399,-17692.635067
400,-31151.476445
401,-24287.895104
402,-40619.862753
403,-7904.1634
404,-65350.372621
405,-13339.547225
406,-63205.449728
407,-21418.160137
408,-16049.174747
409,-9875.850536
410,-10146.996697
411,-24095.243017
412,-91476.824329
413,-14092.241304
414,-15644.600336
415,-15624.563469
416,-25281.67823
417,-10194.556848
418,-22814.065532
419,-6112.5
420,-23315.30219
421,-24126.623932
422,-30303.74439
423,-39606.87992
424,-35046.921654
425,-17697.189981
426,-29749.64098
427,-71052.422187
428,-22882.308881
429,-35482.511241
430,-15869.323202
431,-11480.78287
432,-19711.166168
433,-67808.197015
434,-9945.956068
435,-41435.368885
436,-19987.204025
437,-47580.097462
438,-21005.144242
439,-43980.240019
440,-31840.239534
441,-40496.463789
442,-48341.785947
443,-59744.408283
444,-10915.922762
445,-15680.541116
446,-16786.72475
447,-23392.550097
448,-29372.757655
449,-11380.283668
450,-46558.396435
451,-37754.055738
452,-37744.295853
453,-14938.208758
454,-10402.869767
455,-14946.47072
456,-26423.255488
457,-14886.418323
458,-71736.436459
459,-24431.718051
460,-30554.507301
461,-101815.295577
