episode,reward
0,-12596.237542
1,-133453.869338
2,-11820.839235
3,-15917.55453
4,-27353.033489
5,-18042.65377
6,-44937.949894
7,-16436.665037
8,-28818.146266
9,-13230.999653
10,-17712.170624
11,-44422.940054
12,-20196.607124
13,-45131.844753
14,-73253.668936
15,-29087.814873
16,-14463.649845
17,-15837.88957
18,-14539.431785
19,-11606.725373
20,-10984.162889
21,-37925.027658
22,-26081.102604
23,-19262.654047
24,-14005.929692
25,-26401.052629
26,-73336.151308
27,-25559.429382
28,-36974.201701
29,-35320.200977
30,-55051.498383
31,-29003.452309
32,-34245.942204
33,-61285.21245
34,-14847.096377
35,-47671.471195
36,-83540.449347
37,-10732.866088
38,-11632.261374
39,-30465.236988
40,-66749.584005
41,-8383.700935
42,-118774.590011
43,-99758.464963
44,-39163.50571
45,-57295.106134
46,-84152.20398
47,-17165.596197
48,-9976.41604
49,-35729.025245
50,-34714.669312
51,-11026.408908
52,-84589.809782
53,-27716.328435
54,-36782.953784
55,-10351.45323
56,-10620.221592
57,-13094.680979
58,-28498.544437
59,-23192.913867
60,-18924.729279
61,-35694.227172
62,-146396.536521
63,-42146.76649
64,-70124.611199
65,-22705.232541
66,-18276.091645
67,-23260.871999
68,-38112.632184
69,-57999.199579
70,-68633.877304
71,-34200.633401
72,-10841.592015
73,-19971.066974
74,-32107.323576
75,-44362.620116
76,-16634.688411
77,-64385.466393
78,-16751.73683
79,-12716.158525
80,-83405.69728
81,-45001.047785
82,-109203.390292
83,-14113.596414
84,-14440.763192
85,-38203.437015
86,-16424.5
87,-34814.937893
88,-50646.778878
89,-38461.810011
90,-100754.3014
91,-14418.282236
92,-25816.600094
93,-9924.211643
94,-10527.067336
95,-30784.742389
96,-13911.924568
97,-86847.370409
98,-111267.721989
99,-14928.946447
100,-92449.884867
101,-76909.771152
102,-49045.050663
103,-24952.574369
104,-15188.085356
105,-12685.113121
106,-11616.144794
107,-96980.604221
108,-23857.512896
109,-39585.475471
110,-18215.488002
111,-87395.420056
112,-41715.728139
113,-21475.379906
114,-11410.947195
115,-16319.384363
116,-85697.400903
117,-8659.632499
118,-13841.490237
119,-14134.469566
120,-18307.105673
121,-95003.745862
122,-14157.695985
123,-20333.419064
124,-16944.043298
125,-112402.49619
126,-20800.532215
127,-100112.503276
128,-121794.414647
129,-23422.606815
130,-27228.128966
131,-32168.947828
132,-14876.757389
133,-18274.96288
134,-18874.256764
135,-13512.539409
136,-48908.881496
137,-33315.071091
138,-16889.843362
139,-19407.907216
140,-9853.253066
141,-13699.083662
142,-26622.539013
143,-71181.317339
144,-38305.005089
145,-13633.59103
146,-25319.055328
147,-28129.405019
148,-19252.345256
149,-9771.487344
150,-46557.035904
151,-22635.61897
152,-9754.45317
153,-21414.167733
154,-20636.344521
155,-22092.510144
156,-77930.339717
157,-10953.945199
158,-9292.660716
159,-15228.564074
160,-101527.282369
161,-41777.926111
162,-38959.561298
163,-8003.791741
164,-36078.183771
165,-52663.380318
166,-56270.958076
167,-20048.536389
168,-16610.088265
169,-14261.87284
170,-87054.55441
171,-65336.748378
172,-142886.633799
173,-28382.321226
174,-58648.275433
175,-19201.70661
176,-122318.553762
177,-21498.633
178,-70018.846736
179,-92213.924291
180,-40076.206271
181,-24172.21736
182,-70231.881067
183,-29671.208792
184,-25464.295308
185,-11153.592839
186,-15225.1726
187,-63573.046178
188,-89087.21071
189,-10592.103389
190,-26464.174641
191,-12726.686945
192,-17227.749825
193,-141051.285735
194,-20991.773589
195,-14903.826078
196,-31911.77297
197,-11920.772506
198,-38719.509143
199,-18503.366164
200,-7951.975341
201,-32819.574341
202,-116863.825898
203,-17122.629328
204,-13575.429217
205,-54802.828988
206,-24140.294494
207,-22220.129644
208,-21750.473809
209,-25885.044379
210,-11142.671755
211,-33375.416507
212,-18670.886439
213,-26916.638013
214,-11109.407718
215,-18161.389356
216,-12094.093782
217,-20226.510555
218,-60254.778301
219,-66165.828929
220,-53486.08239
221,-35905.648621
222,-15280.174775
223,-43293.673444
224,-22156.648566
225,-24887.381787
226,-25633.47441
227,-18288.757903
228,-15097.869626
229,-29443.671962
230,-19271.09019
231,-15348.518753
232,-59577.645908
233,-68921.555486
234,-99434.944634
235,-8690.558796
236,-28699.812455
237,-34035.62867
238,-12506.65704
239,-15304.820533
240,-101238.661266
241,-14734.891577
242,-27273.242363
243,-18930.611914
244,-37475.168094
245,-30188.398505
246,-62633.027948
247,-25441.327285
248,-23932.286225
249,-15999.22159
