#{"t_start": 1746366420.2269742, "env_id": "None"}
r,l,t
-12596.237542,28,2.038595
-133453.869338,32,4.354465
-11820.839235,29,6.274109
-15917.55453,31,7.966676
-27353.033489,30,10.422545
-18042.65377,29,12.257229
-44937.949894,31,14.246968
-16436.665037,39,16.310403
-28818.146266,40,18.187005
-13230.999653,38,20.609443
-17712.170624,36,22.346897
-44422.940054,27,24.665657
-20196.607124,33,26.473024
-45131.844753,32,28.202902
-73253.668936,28,30.186607
-29087.814873,42,32.411086
-14463.649845,26,34.086544
-15837.88957,27,36.208745
-14539.431785,35,38.118938
-11606.725373,31,40.107403
-10984.162889,29,41.915822
-37925.027658,35,43.951525
-26081.102604,30,46.229761
-19262.654047,35,48.068045
-14005.929692,33,49.595903
-26401.052629,30,51.761298
-73336.151308,29,53.816914
-25559.429382,30,55.380171
-36974.201701,29,57.007476
-35320.200977,33,59.41374
-55051.498383,30,61.099809
-29003.452309,39,62.988185
-34245.942204,33,64.798537
-61285.21245,37,66.730151
-14847.096377,35,68.700058
-47671.471195,30,70.596684
-83540.449347,40,72.7265
-10732.866088,28,74.554611
-11632.261374,30,76.715234
-30465.236988,33,78.726577
-66749.584005,29,80.114074
-8383.700935,35,82.073797
-118774.590011,41,84.288265
-99758.464963,30,86.58081
-39163.50571,35,88.586914
-57295.106134,29,90.148298
-84152.20398,37,92.104388
-17165.596197,31,93.957594
-9976.41604,29,95.365159
-35729.025245,37,97.110762
-34714.669312,32,99.45465
-11026.408908,32,101.211669
-84589.809782,30,103.279942
-27716.328435,27,105.226203
-36782.953784,41,106.922277
-10351.45323,29,108.642019
-10620.221592,29,110.400684
-13094.680979,34,112.031615
-28498.544437,29,113.787853
-23192.913867,38,115.549458
-18924.729279,35,117.386012
-35694.227172,39,119.022238
-146396.536521,35,120.66797
-42146.76649,28,122.782403
-70124.611199,30,124.508415
-22705.232541,31,126.382289
-18276.091645,35,128.48728
-23260.871999,32,130.147767
-38112.632184,43,132.360192
-57999.199579,32,133.901318
-68633.877304,35,135.590768
-34200.633401,25,137.411278
-10841.592015,30,139.777862
-19971.066974,47,142.074159
-32107.323576,35,144.292731
-44362.620116,31,146.002251
-16634.688411,32,148.541032
-64385.466393,36,150.464462
-16751.73683,35,152.498671
-12716.158525,32,154.428014
-83405.69728,32,156.111142
-45001.047785,30,158.04516
-109203.390292,30,160.191042
-14113.596414,27,162.021919
-14440.763192,38,164.293994
-38203.437015,32,166.13515
-16424.5,48,168.63483
-34814.937893,28,170.477206
-50646.778878,32,172.464444
-38461.810011,37,174.551754
-100754.3014,29,176.313619
-14418.282236,36,178.215508
-25816.600094,30,180.199614
-9924.211643,29,181.674479
-10527.067336,27,183.60112
-30784.742389,36,185.622049
-13911.924568,31,187.161589
-86847.370409,26,189.143326
-111267.721989,26,190.844602
-14928.946447,32,192.459632
-92449.884867,34,194.512681
-76909.771152,32,196.665692
-49045.050663,36,198.650774
-24952.574369,33,200.156755
-15188.085356,44,202.140443
-12685.113121,37,204.113333
-11616.144794,31,205.616973
-96980.604221,29,207.944804
-23857.512896,30,210.271832
-39585.475471,37,211.930642
-18215.488002,27,213.809819
-87395.420056,30,215.501654
-41715.728139,28,217.418202
-21475.379906,31,219.058494
-11410.947195,36,221.413864
-16319.384363,29,223.376099
-85697.400903,32,225.377132
-8659.632499,36,227.019265
-13841.490237,37,228.7917
-14134.469566,33,230.322199
-18307.105673,26,231.965576
-95003.745862,28,233.99791
-14157.695985,33,235.576683
-20333.419064,31,237.494703
-16944.043298,34,239.961511
-112402.49619,32,241.931616
-20800.532215,26,243.870348
-100112.503276,38,245.666075
-121794.414647,38,247.297348
-23422.606815,36,250.020488
-27228.128966,38,252.131286
-32168.947828,35,253.688873
-14876.757389,34,256.375932
-18274.96288,30,258.722259
-18874.256764,34,260.856401
-13512.539409,32,262.467796
-48908.881496,38,264.637332
-33315.071091,36,266.530539
-16889.843362,32,268.580833
-19407.907216,32,270.765159
-9853.253066,29,272.543677
-13699.083662,30,274.397429
-26622.539013,26,276.484375
-71181.317339,34,277.933741
-38305.005089,36,280.173891
-13633.59103,29,281.930681
-25319.055328,32,284.075302
-28129.405019,25,286.178809
-19252.345256,30,287.74842
-9771.487344,28,289.150734
-46557.035904,30,291.232234
-22635.61897,31,292.959389
-9754.45317,34,295.332987
-21414.167733,32,297.137196
-20636.344521,31,299.419499
-22092.510144,30,301.329121
-77930.339717,37,303.088919
-10953.945199,28,305.337125
-9292.660716,29,306.895434
-15228.564074,29,308.291056
-101527.282369,28,310.514527
-41777.926111,27,312.417611
-38959.561298,28,314.888937
-8003.791741,27,316.739698
-36078.183771,34,318.357556
-52663.380318,40,320.311795
-56270.958076,39,321.989476
-20048.536389,34,323.457703
-16610.088265,32,325.498514
-14261.87284,33,327.068105
-87054.55441,28,328.502381
-65336.748378,34,330.968569
-142886.633799,34,332.62607
-28382.321226,34,334.056882
-58648.275433,32,336.272081
-19201.70661,28,338.185272
-122318.553762,32,339.749642
-21498.633,35,341.901034
-70018.846736,30,343.661463
-92213.924291,27,345.380997
-40076.206271,34,347.192971
-24172.21736,30,348.769521
-70231.881067,28,350.940892
-29671.208792,32,353.149913
-25464.295308,33,355.195647
-11153.592839,35,356.926749
-15225.1726,25,358.604797
-63573.046178,36,360.60777
-89087.21071,33,362.493099
-10592.103389,32,363.980938
-26464.174641,34,365.943106
-12726.686945,29,367.955226
-17227.749825,31,370.158975
-141051.285735,32,371.792456
-20991.773589,29,373.821145
-14903.826078,31,375.527351
-31911.77297,31,377.492421
-11920.772506,35,379.422014
-38719.509143,37,380.952824
-18503.366164,28,382.592854
-7951.975341,32,384.610039
-32819.574341,30,386.786417
-116863.825898,33,388.74344
-17122.629328,30,390.753272
-13575.429217,25,392.235203
-54802.828988,29,394.14098
-24140.294494,28,396.234518
-22220.129644,28,397.969542
-21750.473809,38,400.105999
-25885.044379,34,402.077828
-11142.671755,30,404.204822
-33375.416507,32,406.230034
-18670.886439,26,407.624358
-26916.638013,34,409.183944
-11109.407718,35,411.699697
-18161.389356,33,413.686968
-12094.093782,33,415.822277
-20226.510555,32,417.471093
-60254.778301,31,419.505265
-66165.828929,38,421.370157
-53486.08239,35,422.900225
-35905.648621,34,424.793419
-15280.174775,38,426.705612
-43293.673444,37,429.17991
-22156.648566,35,431.474027
-24887.381787,30,433.521592
-25633.47441,37,435.692157
-18288.757903,26,437.222982
-15097.869626,38,439.313925
-29443.671962,37,440.870605
-19271.09019,37,442.663918
-15348.518753,32,444.487187
-59577.645908,37,446.455633
-68921.555486,29,448.796045
-99434.944634,28,450.866842
-8690.558796,30,452.549815
-28699.812455,29,454.48963
-34035.62867,28,456.486162
-12506.65704,34,458.410519
-15304.820533,31,459.862625
-101238.661266,22,461.803598
-14734.891577,27,463.756696
-27273.242363,31,466.112394
-18930.611914,29,468.239724
-37475.168094,28,470.589613
-30188.398505,27,472.590168
-62633.027948,36,475.581075
-25441.327285,34,477.452674
-23932.286225,30,479.16384
-15999.22159,31,481.264732
-16233.00082,34,483.410788
-10985.345523,34,485.381752
-40193.836834,33,486.830776
-119286.804952,28,488.95934
-9109.023702,30,490.832728
-12997.869059,37,492.40761
-25488.799143,28,494.462154
-32601.680439,26,496.269782
-21137.36513,28,498.153849
-45635.607859,34,500.267327
-22593.477469,30,501.808777
-21150.72495,30,503.837571
-21829.504332,31,506.153865
-31486.921385,33,508.044806
-16048.979304,37,509.869853
-25250.966746,30,511.910795
-20814.120488,31,514.269995
-24819.829484,39,516.53599
-69823.613434,28,518.421454
-14131.658257,35,520.600312
-15446.737238,33,522.521407
-27436.842614,31,524.809151
-27545.27677,32,526.710677
-20547.860237,36,528.726367
-29994.340896,33,530.550473
-16779.819014,32,532.285933
-33953.967431,34,533.8885
-107004.123444,33,535.645949
-12023.768037,33,537.668244
-14567.522567,34,539.316306
-9786.204217,35,541.619768
-21207.8267,33,543.657489
-15154.346318,31,545.213899
-15023.890695,34,547.062885
-24278.021311,32,548.927153
-21880.909013,25,550.903193
-14490.218012,29,553.259521
-37054.048701,25,554.69602
-14825.003688,24,556.4446
-15953.908818,36,558.685071
-71319.508775,26,560.665761
-27973.046052,31,562.773064
-62617.941537,36,564.259569
-24700.471772,27,566.041947
-47005.534269,35,567.976091
-19553.350275,36,569.884316
-76454.920918,26,571.608711
-30412.213198,41,573.727225
-23704.162419,30,576.248224
-31394.289736,32,578.257875
-206922.569454,38,579.983164
-35596.50488,31,581.918432
-28542.144706,32,583.724753
-16684.962364,31,585.537556
-16535.218069,26,587.541831
-53034.612324,31,589.347626
-24089.740348,28,591.376628
-23775.600779,32,592.972871
-71889.026923,39,594.510712
-13435.990671,33,596.404863
-14824.603298,32,598.347266
-14874.790421,38,600.098279
-12742.184955,27,602.043402
-34034.510607,27,603.923941
-167024.344321,31,606.045805
-21426.181283,29,607.744861
-81424.893767,32,609.767787
-37044.161047,30,611.775468
-30837.521626,32,613.81115
-41978.543541,35,616.5557
-78811.947668,28,617.962278
-16100.633874,35,619.500336
-11476.775506,28,621.484455
-22371.349176,35,623.616905
-16692.899636,29,625.635594
-31457.268734,29,627.792848
-20220.806876,30,629.555528
-16893.871862,39,631.330948
-11257.090048,30,633.477901
-13513.234418,27,634.992356
-11128.032137,27,636.925646
-19683.856825,36,638.901767
-98385.286082,32,640.794085
-8123.684396,27,642.763054
-19656.068776,38,644.769163
-56884.357487,32,646.401836
-13519.755905,36,648.507237
-11422.46157,33,650.816375
-51622.686706,30,653.420138
-70006.028129,38,655.707308
-73475.261792,44,658.173558
-89448.485912,24,660.140679
-96464.924386,28,661.811582
-19849.317575,23,663.640773
-40799.960814,30,665.697946
-31140.491112,33,668.093342
-15367.879893,33,670.592625
-76857.095155,34,672.018866
-25361.185431,27,673.872347
-158126.961478,38,676.17001
-16567.355227,34,678.418075
-91980.636372,33,681.212001
-12470.848306,34,683.036089
-15630.336935,28,684.812439
-77899.237425,39,686.940471
-22929.238611,33,688.905896
-20571.000914,33,690.826197
-27628.742977,36,692.989859
-15998.221258,30,694.846699
-15335.794785,31,696.726677
-22973.258756,31,698.416478
-18360.10218,31,700.452927
-11113.995599,32,702.594713
-22457.667229,30,704.66151
-16776.806237,31,706.484051
-93749.31693,32,708.329959
-71634.642644,24,710.046757
-38856.334553,35,711.868796
-23654.911112,32,713.624355
-100592.546263,31,715.809985
-95302.0,32,717.784313
-83545.065651,29,719.766772
-10451.358499,32,721.712056
-7497.57981,30,723.666114
-36449.25244,34,725.473575
-20942.984216,34,727.683945
-24478.918176,27,729.472039
-17241.936134,38,731.814305
-16079.967114,34,733.695097
-63558.628195,29,735.595068
-172598.913217,27,737.849088
-14001.202252,33,740.087359
-28670.271195,34,741.80503
-15100.510719,31,743.905525
-7592.900981,32,745.755669
-12720.166353,35,747.724164
-62467.126487,23,749.196054
-100297.859403,32,751.525593
-29128.806571,35,753.80195
-16705.577159,27,755.497392
-20885.602373,33,757.844748
-28327.911708,43,759.371065
-17832.199027,29,761.710428
-78704.269351,34,763.79554
-35268.042592,36,765.720863
-13739.189989,33,767.896979
-13275.192619,31,769.374924
-8962.191277,27,771.36328
-20123.417272,37,773.872389
-17109.442945,35,775.748321
-48681.402832,26,777.721565
-47350.862929,26,779.400305
-33160.037854,29,781.336695
-11004.354368,31,783.2695
-24233.203715,28,784.70867
-52258.333075,28,786.522929
-33592.292471,34,788.868896
-20593.105025,34,791.002462
-12675.382718,28,792.826691
-27598.040974,30,794.580173
-96801.846142,32,796.722571
-13314.381447,30,798.820344
-29564.198969,38,800.283757
-39508.254031,38,801.978503
-21192.060661,38,804.295747
-18045.412809,28,805.907296
-53738.476591,34,808.123491
-85830.323888,35,809.816113
-114815.022724,39,811.843966
-57444.353918,36,813.670437
-18435.237201,36,815.142001
-18755.579358,31,817.113778
-8305.259143,33,819.291675
-9250.3921,31,821.619066
-88931.698382,40,823.410455
-17150.233219,28,825.085658
-21511.269117,39,826.871629
-81501.402629,29,828.984419
-30538.912838,32,830.496056
-10278.929565,33,832.594814
-14518.835413,31,834.424598
-43834.611581,34,836.573396
-21481.270805,28,838.516028
-24233.00032,28,840.288197
-27494.802713,33,842.160705
-79251.134455,32,844.069999
-137242.997329,35,845.787205
-107689.565908,28,847.606925
-27945.974301,34,849.964441
-16080.85572,34,851.87848
-26431.462433,37,853.856181
-15305.841919,26,855.490062
-28159.032221,33,857.467522
-11681.508136,37,859.184869
-12813.13493,32,860.77624
-19402.249443,40,862.984061
-39006.285658,37,864.864701
-23560.895868,43,866.821074
-15238.139305,32,868.683098
-37613.178559,35,870.627219
-23099.609582,34,872.75012
-20711.225923,30,874.864089
-17517.774113,33,876.569003
-28636.521675,38,878.690404
-36148.45012,33,880.821504
-26351.501759,38,883.228763
-20700.68978,36,885.23251
-19956.877428,32,887.127164
-9479.439538,27,888.943399
-27011.096311,28,890.946819
-16055.440182,36,892.971092
-90802.008756,30,895.18058
-12219.096106,36,897.145461
-49368.530683,30,899.208451
-81585.767284,36,900.742199
