#{"t_start": 1746343014.8152368, "env_id": "None"}
r,l,t
-22405.2,33,2.328173
-11488.2,29,4.352755
-7576.6,28,6.096605
-35904.6,31,8.746125
-30609.6,34,10.42292
-25216.0,26,12.203007
-25915.2,24,14.049746
-27460.6,39,15.581227
-47689.8,33,17.865225
-8118.8,30,20.212938
-51926.2,37,22.52038
-25107.8,24,23.971215
-24421.0,37,25.595486
-28525.2,36,27.655121
-27749.8,32,29.161928
-32592.6,27,30.61195
-30664.0,21,32.567558
-13402.4,34,34.417914
-26670.2,25,35.846053
-9551.0,32,37.762463
-9201.0,30,40.060541
-44356.8,37,42.343643
-28140.0,32,44.342132
-16807.8,34,45.946826
-59901.6,34,48.134228
-26970.4,28,50.191109
-8294.6,31,51.884556
-23404.6,33,54.238219
-11778.6,28,55.878729
-14502.2,33,57.81227
-17516.0,35,59.919472
-10008.6,27,62.246228
-17799.0,31,64.229877
-17177.8,26,65.891173
-14019.8,34,68.084517
-13586.2,34,69.825751
-12567.8,22,71.260182
-19135.0,30,73.334408
-15437.8,36,75.6813
-20009.2,32,77.119564
-27231.0,38,78.952676
-18850.0,28,80.977883
-21197.6,34,82.759001
-14918.6,38,84.831713
-12003.6,29,86.318555
-17957.2,38,88.743715
-28044.0,34,90.991504
-14229.0,31,93.643625
-18017.2,36,95.750578
-45946.2,34,97.726585
-18901.0,39,100.041712
-12916.8,33,101.532597
-22634.8,32,103.911773
-23799.0,28,105.854329
-15878.4,36,107.957525
-8328.2,29,110.13943
-24053.8,28,111.664638
-7812.0,30,113.277732
-32031.6,29,115.241969
-20034.6,30,117.636533
-22835.0,28,119.578108
-29273.6,28,121.3509
-12800.2,32,122.919677
-17564.4,33,125.21571
-9580.0,29,127.312958
-27310.0,36,129.226496
-20827.0,36,131.338758
-17958.6,28,133.004812
-25833.6,32,135.502102
-20859.8,32,137.402414
-31090.0,34,139.201666
-22444.8,34,140.887726
-9697.8,38,143.241527
-14278.2,32,145.334298
-20503.2,25,147.463533
-41440.6,43,149.977342
-9844.4,38,152.266518
-16892.2,27,153.664881
-21346.2,39,155.958992
-20188.8,35,158.175859
-17552.2,35,160.601373
-9211.4,31,162.387995
-16755.8,35,163.915083
-38541.8,43,166.390557
-11042.6,30,168.678858
-34773.6,38,170.736434
-7234.8,32,172.544033
-19784.6,38,174.139155
-25269.4,33,176.040814
-10301.8,34,178.229422
-89541.2,29,180.272423
-11343.0,26,182.445239
-23020.8,27,184.040219
-17493.4,30,186.104711
-10285.6,27,187.973966
-13544.8,32,189.992991
-26742.0,29,192.005033
-24061.0,27,193.842083
-17663.4,35,196.063184
-18822.4,32,198.039963
-13650.8,40,199.506242
-26068.0,30,201.272688
-10333.0,39,203.72924
-15507.6,30,205.476302
-29340.0,32,207.302225
-15769.6,37,209.467561
-27067.6,37,211.363084
-16835.6,29,213.575959
-19075.2,29,215.042732
-25678.4,31,216.953496
-7107.4,27,218.794281
-15931.0,33,220.803351
-10019.4,30,222.889285
-11737.4,29,225.085325
-30864.0,34,226.980411
-20923.0,35,228.519812
-30199.6,36,230.140207
-19162.0,29,232.290798
-41299.2,30,233.729255
-14049.4,32,235.661713
-11780.0,32,237.522818
-23764.0,30,239.480229
-12243.8,28,241.058697
-22621.0,27,242.657762
-7423.2,29,244.925402
-30489.6,40,246.920987
-23216.6,32,248.836749
-13439.4,36,250.420412
-14052.8,26,252.534141
-22229.6,34,254.244038
-15973.0,31,256.246123
-17239.2,37,258.588901
-18937.8,32,260.125063
-22413.4,42,261.998057
-32944.2,38,264.047905
-34615.0,30,265.525661
-10767.6,30,267.41547
-22719.2,27,269.219337
-13169.0,33,270.68823
-21176.0,29,272.972682
-11539.4,29,274.856302
-14792.0,31,276.85258
-19628.4,28,279.172291
-10350.0,31,280.772206
-18846.4,30,282.655302
-29679.4,28,284.689091
-32111.4,30,286.597207
-19291.6,35,288.551345
-10554.0,30,290.701198
-21780.0,33,292.83331
-21313.6,30,294.943479
-17966.6,28,296.377034
-15604.8,32,298.75386
-8698.6,29,300.848608
-24494.8,34,302.607702
-7871.6,29,304.686216
-48031.4,32,306.452566
-28994.0,34,308.970414
-27126.8,31,311.063729
-15923.4,32,312.985767
-21911.0,37,314.858353
-11801.4,42,316.477438
-14645.6,28,318.967198
-15910.0,29,320.858855
-34694.2,34,322.887729
-24025.8,40,324.395581
-18757.6,30,326.296252
-20582.4,33,328.410498
-25667.0,28,329.934613
-24374.0,33,331.661142
-9177.8,29,333.782984
-18494.4,32,335.224464
-15679.6,34,336.768464
-10316.6,33,338.833807
-10035.6,33,340.896873
-27602.6,33,342.6829
-10011.8,33,344.845706
-34483.6,31,346.676491
-44794.2,31,348.617445
-21799.2,35,350.667332
-18657.6,24,352.233173
-64574.2,27,354.301236
-28483.0,29,356.23056
-23915.8,34,358.278507
-8624.2,30,360.143946
-12834.4,39,361.82949
-21365.6,30,363.802323
-23225.8,35,365.437035
-18136.0,32,367.067389
-34484.6,26,369.252398
-8787.8,36,371.02198
-9413.6,32,373.044378
-29871.0,30,375.108691
-43816.6,35,377.016353
-21082.2,25,378.845131
-11900.4,32,380.779118
-20610.8,30,382.298641
-23928.6,38,384.168911
-11570.6,32,386.225167
-14861.4,33,388.16152
-16002.8,38,390.353806
-20380.4,25,392.102476
-13791.6,35,393.869545
-29690.0,24,395.519366
-35194.0,42,397.372459
-37867.2,28,399.486175
-13886.6,43,401.121967
-18927.6,34,402.757445
-18566.2,27,404.734953
-21957.2,34,406.285222
-18064.6,38,407.799286
-21401.8,26,410.216662
-29641.2,31,412.056106
-41559.0,33,413.968644
-14484.0,36,415.872641
-13994.6,30,417.625593
-27884.8,29,419.900577
-34918.6,34,422.292273
-24830.2,37,424.565377
-15834.2,33,426.239431
-6429.2,32,428.42994
-17907.0,41,430.765958
-11570.0,31,433.140313
-53793.8,33,435.125249
-24588.0,24,436.902192
-10129.4,28,438.80476
-32861.2,34,440.93799
-32299.2,33,443.007253
-9166.6,33,444.54619
-16382.4,35,446.29257
-15280.6,31,448.387781
-11825.8,30,450.2413
-26396.0,28,452.226637
-17553.8,32,454.640873
-5543.8,33,456.622727
-19929.0,35,458.759281
-20379.8,29,460.807604
-18231.2,33,462.704107
-19277.4,37,464.646185
-12912.8,32,466.538653
-18537.0,38,468.24843
-13362.4,23,469.92612
-16877.8,33,471.93118
-23282.6,34,474.807214
-22005.8,40,476.365619
-10286.0,30,478.436066
-27152.8,36,480.143308
-20030.6,36,482.114014
-16246.8,28,484.437169
-29255.0,30,486.274592
-15271.2,27,488.140728
-6654.4,30,490.036124
-17312.0,28,491.957567
-18203.2,29,493.897973
-30151.4,27,495.411261
-39192.4,29,497.290394
-10425.8,28,499.199717
-13703.8,32,500.593674
-27034.0,32,502.718827
-32407.6,34,504.406851
-18749.0,29,506.16647
