#{"t_start": 1746330476.3167646, "env_id": "None"}
r,l,t
-228101.829781,40,1.74874
-101519.578521,27,3.88102
-34332.545543,33,5.717237
-13773.345651,36,7.910455
-30396.846509,34,9.722004
-269178.201386,27,11.649595
-18549.492424,34,13.724319
-688719.765621,27,15.383399
-30926.921323,35,17.536419
-19810.531504,31,19.487946
-14397.660732,32,21.289048
-145794.543354,39,23.451427
-104210.655515,31,25.115093
-315630.785712,27,26.706692
-273793.675777,29,28.4443
-11485.917313,29,30.66076
-31039.434855,41,32.63662
-18373.745123,31,34.910913
-50948.366232,38,36.741335
-28102.044296,29,38.949241
-85434.041999,35,40.975159
-188868.600325,29,42.766829
-25853.150799,35,44.753504
-9522.739783,29,46.248511
-39715.442877,30,48.512047
-10210.077062,32,50.872926
-22713.827231,29,52.946473
-325144.060707,33,55.061546
-19298.346612,38,56.510751
-84898.894223,35,58.451172
-14332.925591,30,60.767735
-13020.431865,33,62.333202
-15374.418586,39,64.752007
-15812.299937,33,66.674521
-23983.854695,35,68.774959
-12591.199852,29,70.277747
-18245.121473,31,72.169376
-229783.192191,35,74.160914
-299766.614312,28,76.023841
-14008.200632,34,77.998923
-20966.956579,27,79.899504
-72151.201902,33,81.882887
-336078.751794,32,83.810011
-24911.369763,34,85.654546
-15506.406303,35,87.485618
-26516.051362,32,89.556826
-165239.474244,31,91.520708
-72677.243199,32,93.732761
-15791.077147,38,95.257307
-14138.426971,37,97.801613
-15084.663699,30,99.787807
-27296.484166,29,101.626503
-15303.470403,28,103.966247
-19759.771121,31,105.433591
-387354.062871,35,107.117716
-18741.089585,33,108.885843
-179078.960528,24,110.295624
-29314.068427,26,112.223849
-317877.762096,30,114.077939
-49751.283586,37,116.165149
-32170.935949,34,118.221933
-33177.70523,29,120.094151
-20834.93399,30,121.764135
-32436.357626,34,124.309238
-61639.711958,31,126.444584
-11761.35,37,127.900961
-27910.493282,38,130.61661
-6947.311993,25,132.435153
-340471.768824,28,133.859614
-37611.938423,26,135.602368
-56261.458842,28,137.179427
-11412.958191,37,138.945051
-30877.815819,32,141.1459
-80894.584205,29,143.438426
-33098.262687,24,145.35488
-24795.087771,32,147.212536
-28891.600536,29,149.126711
-50261.617413,27,151.097898
-22727.699415,27,152.520679
-145535.243055,32,154.711043
-142552.811828,26,156.590833
-13245.74916,31,158.60624
-428163.346857,33,160.303687
-39986.292999,32,162.325902
-12012.789139,29,164.085026
-51447.608953,32,165.675441
-141964.406159,31,167.919125
-10326.65691,27,169.564401
-14552.873716,34,171.669706
-11108.42776,29,173.642713
-58504.47239,35,175.693287
-48870.193356,31,178.183982
-59683.766959,34,180.424078
-15865.728959,27,181.879225
-18189.793652,41,183.921051
-74497.039261,27,185.757313
-40551.824244,33,187.687567
-272382.620505,26,189.958944
-20953.537366,32,191.733279
-60220.085499,35,193.603095
-27031.165036,35,195.6716
-115529.69681,37,197.712078
-332942.054667,28,199.638645
-421988.788431,26,201.077433
-33217.776412,29,202.950192
-132951.175067,31,205.04582
-188828.702662,34,206.695699
-11075.373278,34,208.623338
-182571.992688,26,210.534413
-17870.746671,35,212.04963
-8623.90521,39,213.656736
-18974.86328,31,215.199957
-28633.875888,33,216.911501
-10697.614491,31,218.640259
-273895.39705,36,221.146983
-35355.505762,29,222.975223
-17914.717107,32,225.316719
-26714.740512,39,227.491779
-11282.428897,33,228.901993
-34880.878557,30,230.827798
-20512.609356,26,232.706635
-69805.406555,39,234.959252
-32719.702638,36,236.693688
-27874.934688,36,238.972379
-274967.42848,29,240.45067
-39537.036473,28,242.263883
-258790.744554,37,244.219519
-13857.837654,34,246.154764
-11587.813303,29,248.170511
-290293.572658,28,250.220888
-353807.172542,29,252.04374
-55980.298994,28,254.080259
-29206.511032,39,255.750162
-17654.610069,33,258.046117
-38206.149114,28,259.945641
-53039.97811,33,261.526142
-14091.667197,32,263.808758
-38885.573428,40,265.700734
-20988.041164,35,267.627317
-273288.614735,35,270.345931
-45688.993781,32,272.408172
-11151.778199,34,274.115571
-16585.780258,28,275.907136
-12793.826297,34,278.180456
-13239.978031,38,280.799489
-26810.533081,28,282.840293
-16392.342148,33,284.818874
-20728.235821,32,286.32299
-31058.904561,34,288.635086
-9788.475699,33,290.453766
-12997.670498,31,292.787716
-20336.698852,39,295.147943
-17473.404713,36,296.600909
-11147.62297,35,298.885406
-15556.092077,27,300.733312
-17862.333686,34,302.319855
-62152.721172,34,303.966298
-53722.509617,31,306.173395
-10372.552167,28,308.042386
-22596.27024,26,310.071084
-14935.940797,28,311.551044
-20029.95775,37,313.649469
-340681.364695,27,315.42824
-69734.456403,30,317.226036
-19765.05669,37,319.766329
-21697.384857,38,321.602419
-311997.704978,33,324.043026
-172868.677,30,326.143486
-55233.832653,39,328.075528
-83874.940418,34,329.983964
-14119.679175,31,331.635819
-32328.13161,27,333.505284
-27980.466208,40,336.025021
-14220.543698,29,338.234634
-53975.206993,30,340.342783
-337114.142593,28,341.94175
-14663.506789,32,344.399893
-642426.770415,37,346.474543
-13834.377384,28,348.528034
-344968.13091,29,350.346698
-37161.868069,39,351.971303
-426693.571028,30,354.068179
-87785.638006,32,356.431971
-13514.830213,29,358.431233
-24204.065594,26,360.419932
-29519.667121,32,362.229481
-78493.917569,29,364.068192
-44567.853491,35,366.233469
-14138.907359,29,368.191318
-31639.920638,35,370.139334
-240097.079045,29,371.853052
-110193.398806,31,374.202065
-21842.155024,34,376.445509
-391473.602459,32,378.68609
-13227.401162,33,380.551308
-13398.839041,35,382.998576
-22665.546913,32,384.638169
-313923.316296,35,386.499164
-15057.567545,29,389.054092
-45342.918459,39,391.142727
-16562.333563,32,392.76832
-24950.320057,42,394.516022
-23001.509606,31,396.63656
-11092.538092,31,399.472774
-153220.276824,29,401.583711
-287501.421308,32,403.403018
-31119.351454,31,404.891358
-17036.555628,31,406.696284
-18517.988452,33,408.849999
-38558.182907,35,410.624923
-48115.9,38,412.596336
-26082.844043,30,414.616256
-341017.367708,33,416.653125
-16071.519605,36,418.870014
-18792.186843,30,420.444569
-291813.177335,30,422.737698
-279566.125737,29,424.916327
-371670.304253,28,426.962696
-33225.708219,35,429.016444
-295990.245962,28,430.551315
-66403.7917,30,432.612135
-95722.887855,28,434.64176
-15385.276833,31,436.706406
-21612.246627,32,438.567357
-60848.386516,30,440.371233
-7814.867716,29,442.485744
-11058.653358,31,444.625353
-11912.584328,30,446.267678
-215905.48608,30,448.323074
-13659.168145,27,450.295365
-27360.90694,33,452.183865
-17082.683162,40,454.369761
-287639.079068,36,455.860185
-14882.450022,28,457.60822
-284566.284472,34,459.685721
-318252.115648,38,461.563568
-15590.613277,30,463.900313
-10288.556221,35,465.552898
-254314.740649,29,467.396751
-82660.118291,31,469.25794
-127002.504915,37,470.883518
-11729.105647,32,472.702166
-46590.747733,31,474.572188
-18593.174376,33,476.239864
-24910.810205,35,477.821147
-159868.929897,33,479.831575
-46016.265198,30,481.759973
-455512.858933,30,483.391109
-21889.895521,31,485.440023
-19190.568617,32,487.345039
-266564.727677,29,489.289225
-43193.631289,28,491.397349
-307931.07404,28,493.115325
-51777.917685,37,495.069544
-89040.029076,29,496.569221
-273159.000499,36,498.466742
-349791.061282,24,499.858256
-54167.082194,34,501.832365
-27909.353051,35,503.539829
-50999.005355,30,505.516336
-258161.290173,25,507.299399
-247965.751408,37,508.805871
-54444.214592,28,510.8986
-29275.629397,27,512.820072
-17791.708926,33,515.115956
-12125.490927,37,516.849717
-236387.715944,29,518.718201
-20701.24656,29,520.832019
-54007.754181,30,523.093023
-19909.402828,31,524.583378
-300456.079271,26,526.613555
-254556.711203,28,528.722375
-23199.937448,24,530.827357
-237421.698959,24,532.62076
-34574.980333,38,534.214318
-15930.797635,41,536.196473
-33734.225716,34,538.330343
-13118.883667,35,540.394219
-36087.456284,32,542.446252
-17644.653167,34,544.178734
-337954.971239,28,546.328757
-33454.860428,31,547.988584
-94981.933422,36,549.809739
-103944.820193,38,551.634886
-22727.338736,31,553.810387
-27252.576421,30,556.089283
-157488.599589,29,558.38351
-26733.580458,32,560.510078
-8645.090051,37,562.874056
-121964.316884,33,564.438592
-301692.675825,27,566.435299
-20811.668921,29,568.600725
-12798.141096,29,570.725996
-477900.751802,25,572.560133
-93192.993624,30,574.298428
-409023.516957,36,576.286665
-257340.48313,32,578.25925
-23904.241161,33,579.780768
-34746.656369,34,581.500932
-15129.48341,39,583.551368
-25233.182353,32,585.062994
-35923.073678,37,586.6586
-127796.767355,34,588.761944
-245652.9212,26,590.48528
-10178.661499,27,592.45815
-18855.097985,31,594.293592
-23651.046424,42,596.592904
-21604.310277,38,598.393417
-19782.792857,32,601.06218
-12216.546129,31,603.339602
-11458.920606,30,605.418621
-18641.834465,28,607.040773
-10174.143371,35,609.180044
-57888.574269,35,611.168477
-161888.193614,31,612.758364
-35685.622805,36,615.246199
-15151.770968,31,617.222611
-87811.833384,26,618.852798
-29644.518102,31,620.968547
-56093.841086,29,622.860072
-22917.844627,35,624.509004
-69002.206434,26,626.717387
-28185.66638,37,628.140077
-45990.700563,32,630.125603
-32169.968652,33,631.706754
-16736.340156,36,633.875178
-168185.256613,31,635.761144
-12117.286295,28,638.148176
-183596.48439,42,639.769715
-437226.332182,33,641.835614
-57418.005603,26,643.823057
-133154.455182,39,646.238972
-12080.938735,33,648.361618
-27317.37031,31,650.768512
-346548.05931,27,653.772177
-486806.842652,32,655.902055
-8833.326153,30,657.339444
-38474.386196,32,659.514918
-11363.752239,28,661.208158
-30226.954235,32,663.163938
-13842.730347,37,664.802242
-15518.071917,31,666.652825
